,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
250,trigramString_500000000000,3,96,192,33.259,2024-10-27 22:01:17.829000,2024-10-27 22:02:58.193400,8160.010563230693,987.6708319343928,9340.697857114026,1081.1557834510595,9340.697857114026,1081.1557834510595,7412.118446014126,280.84722502522703,32.507164480322906,3192.864,6385.728,1.81891991163538e-05,1.2463145624577203e-05,10421.853640565085,0.0778391488092835,0.0090096315287588,0.0868487803380423,0.0580756390474378,0.0795862579829401,0.1376618970303779,0.2245106773684203,suffixArray,30,False,True,False,False,-0.0,-52.06105647146616,-57.042626249025766,-61.353472491436
276,trigramString_500000000000,3,64,56,34.442,2024-10-30 02:59:01.332100,2024-10-30 03:00:45.305900,8174.299698498908,1003.845904825683,9396.983236065576,1100.6560524590163,8989.422056876685,1032.082197885405,4950.547232401157,272.8350048216008,31.95679845708775,2204.288,1928.752,1.81891991163538e-05,1.2463145624577203e-05,10021.50425476209,0.0749118504739723,0.0086006849823783,0.0835125354563507,0.0400942333417892,0.0240383170496945,0.0641325503914838,0.1476450858478345,suffixArray,30,False,False,True,False,34.236942501603146,-0.0,-3.2760325971392827,-6.110976890203008
278,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.081783776968032,0.0095903815182657,0.0913741584862977,0.023458537343565,0.0281289208540107,0.0515874581975757,0.1429616166838735,suffixArray,30,False,False,False,True,36.323021087645394,3.1721131367608595,-0.0,-2.745016652723599
308,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.074951258151171,0.0087418134066087,0.0836930715577797,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.139142141722631,suffixArray,30,True,False,False,False,38.02426532511867,5.759043097422676,2.6716786294382606,-0.0
328,trigramString_500000000000,3,96,192,33.259,2024-10-27 22:01:17.829000,2024-10-27 22:02:58.193400,8160.010563230693,987.6708319343928,9340.697857114026,1081.1557834510595,9340.697857114026,1081.1557834510595,7412.118446014126,280.84722502522703,32.507164480322906,3192.864,6385.728,1.81891991163538e-05,1.2463145624577203e-05,10421.853640565085,0.1037855317457114,0.0120128420383451,0.1157983737840565,0.0580756390474378,0.0795862579829401,0.1376618970303779,0.2534602708144345,suffixArray,40,False,True,False,False,-0.0,-44.43612881543867,-46.15428084180583,-51.736425625354876
354,trigramString_500000000000,3,64,56,34.442,2024-10-30 02:59:01.332100,2024-10-30 03:00:45.305900,8174.299698498908,1003.845904825683,9396.983236065576,1100.6560524590163,8989.422056876685,1032.082197885405,4950.547232401157,272.8350048216008,31.95679845708775,2204.288,1928.752,1.81891991163538e-05,1.2463145624577203e-05,10021.50425476209,0.0998824672986298,0.0114675799765045,0.1113500472751343,0.0400942333417892,0.0240383170496945,0.0641325503914838,0.1754825976666181,suffixArray,40,False,False,True,False,30.76524494243363,-0.0,-1.1895583469719144,-5.05434261482082
356,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.109045035957376,0.0127871753576876,0.1218322113150636,0.023458537343565,0.0281289208540107,0.0515874581975757,0.1734196695126394,suffixArray,40,False,False,False,True,31.579150864395277,1.1755742058810081,-0.0,-3.819350860883127
386,trigramString_500000000000,3,48,56,35.295,2024-10-30 03:01:47.188500,2024-10-30 03:03:33.716400,8367.668551765524,1020.082007970132,9620.633404515524,1119.289782220132,8994.150978140524,1049.0176087930486,3774.6165192850426,272.57779868297274,31.71241768579492,1694.16,1976.52,1.81891991163538e-05,1.2463145624577203e-05,10043.168586933572,0.099935010868228,0.0116557512088116,0.1115907620770397,0.0308154135749619,0.0246336565898893,0.0554490701648512,0.167039832241891,suffixArray,40,True,False,False,False,34.09624644322044,4.81116961852062,3.6788429413327948,-0.0
406,trigramString_500000000000,3,96,192,33.259,2024-10-27 22:01:17.829000,2024-10-27 22:02:58.193400,8160.010563230693,987.6708319343928,9340.697857114026,1081.1557834510595,9340.697857114026,1081.1557834510595,7412.118446014126,280.84722502522703,32.507164480322906,3192.864,6385.728,1.81891991163538e-05,1.2463145624577203e-05,10421.853640565085,0.1297319146821392,0.0150160525479313,0.1447479672300706,0.0580756390474378,0.0795862579829401,0.1376618970303779,0.2824098642604487,suffixArray,50,False,True,False,False,-0.0,-38.899130526351406,-38.51923644091759,-44.871987835032726
432,trigramString_500000000000,3,64,56,34.442,2024-10-30 02:59:01.332100,2024-10-30 03:00:45.305900,8174.299698498908,1003.845904825683,9396.983236065576,1100.6560524590163,8989.422056876685,1032.082197885405,4950.547232401157,272.8350048216008,31.95679845708775,2204.288,1928.752,1.81891991163538e-05,1.2463145624577203e-05,10021.50425476209,0.1248530841232873,0.0143344749706306,0.1391875590939179,0.0400942333417892,0.0240383170496945,0.0641325503914838,0.2033201094854017,suffixArray,50,False,False,True,False,28.00530887338536,-0.0,0.27350357341635323,-4.300140170818546
434,trigramString_500000000000,3,32,56,40.303,2024-10-30 03:04:39.519100,2024-10-30 03:06:41.043400,9337.13731360273,1117.8045151578592,10767.885081286064,1231.088859274526,9814.053236163842,1150.8457821918869,2628.7440395713106,267.17328936521017,30.54583676834295,1289.696,2256.968,1.81891991163538e-05,1.2463145624577203e-05,10964.899018355727,0.13630629494672,0.0159839691971095,0.1522902641438295,0.023458537343565,0.0281289208540107,0.0515874581975757,0.2038777223414053,suffixArray,50,False,False,False,True,27.807860792928313,-0.27425366699581216,-0.0,-4.5861871299187875
