,Unnamed: 0,workload,cpu,memory,start,end
0,0,llama,48,96,2025-02-17 07:48:08,2025-02-17 07:54:09.580390
1,1,suffixArray,48,96,2025-02-17 07:48:08.286500,2025-02-17 07:52:27.618500
