,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
849,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0364431689816479,0.0040649824790253,0.0405081514606732,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0475486121553951,removeDuplicates,100,True,False,False,False,4.714146398457093,4.714146398457093,2.0228738032393117,-0.0
927,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0400874858798127,0.0044714807269278,0.0445589666067406,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0515994273014625,removeDuplicates,110,True,False,False,False,4.338169578408576,4.338169578408576,2.211872079329923,-0.0
1005,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0437318027779775,0.0048779789748304,0.0486097817528079,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0556502424475298,removeDuplicates,120,True,False,False,False,4.014569406577604,4.014569406577604,2.3727790495717174,-0.0
1083,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0473761196761422,0.0052844772227329,0.0526605968988752,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0597010575935971,removeDuplicates,130,True,False,False,False,3.7331138427747628,3.7331138427747628,2.5114243992062293,-0.0
1161,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0510204365743071,0.0056909754706355,0.0567114120449426,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0637518727396645,removeDuplicates,140,True,False,False,False,3.4860730792389347,3.4860730792389347,2.6321290955566075,-0.0
1239,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0546647534724718,0.006097473718538,0.0607622271910099,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0678026878857318,removeDuplicates,150,True,False,False,False,3.267498712818188,3.267498712818188,2.738163797760342,-0.0
1317,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0583090703706366,0.0065039719664405,0.0648130423370772,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0718535030317991,removeDuplicates,160,True,False,False,False,3.0727385246792065,3.0727385246792065,2.8320497012664045,-0.0
1395,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0619533872688014,0.0069104702143431,0.0688638574831445,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0759043181778664,removeDuplicates,170,True,False,False,False,2.898101664168635,2.898101664168635,2.9157615785209736,-0.0
1473,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.0655977041669662,0.0073169684622456,0.0729146726292119,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0799551333239338,removeDuplicates,180,True,False,False,False,2.7406225176739833,2.7406225176739833,2.9908682043011994,-0.0
1551,randomSeq_2G_int,10,48,40,5.133,2024-10-29 21:10:23.355600,2024-10-29 21:11:17.564000,1220.8438894143253,143.3335521719963,1403.0642772643253,157.7614741219963,1311.9540833393253,146.33936924491297,3781.627467652496,273.3419593345656,30.734750462107208,246.384,205.32,1.81891991163538e-05,1.2463145624577203e-05,1458.2934525842384,0.069242021065131,0.0077234667101481,0.0769654877752792,0.0044815276350837,0.0025589330596381,0.0070404606947219,0.0840059484700011,removeDuplicates,190,True,False,False,False,2.597890916835553,2.597890916835553,3.058631592544071,-0.0
