,workload,label,rounds,cpus,memory,times,geomean,start,end,start_seconds,end_seconds,duration
0,parallelCK,nBody,6,48,96,"[29.77, 29.759, 29.773, 30.342]",29.909971029010602,2024-11-14 00:38:37.525200,2024-11-14 00:40:37.169200,0.432,120.076,119.644
1,parallelFilterKruskal,minSpanningForest,14,48,96,"[9.106, 9.247, 9.025, 9.523, 9.275, 9.059, 9.501, 9.293]",9.251957230376384,2024-11-14 00:38:37.093200,2024-11-14 00:39:51.122200,0.0,74.029,74.029
