,Unnamed: 0,workload,cpu,memory,start,end
0,0,pgbench-50,48,96,2025-02-17 01:50:32.000136,2025-02-17 01:54:42.000136
1,1,spark,48,96,2025-02-17 01:50:32.000136,2025-02-17 01:55:47.967441
