,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
1853,trigramString_500000000000,10,48,32,2.496,2024-10-29 04:52:10.624800,2024-10-29 04:52:35.703200,574.6636063999999,53.2406368,663.2710655999999,60.256435200000006,618.9673359999999,54.40993653333334,3091.19344,265.7336,24.1412,119.808,79.872,1.81891991163538e-05,1.2463145624577203e-05,673.3772725333333,0.0395451353555555,0.0034761903896296,0.0430213257451851,0.0021792115677321,0.0009954563673262,0.0031746679350583,0.0461959936802435,wordCounts,230,True,False,True,False,16.384943565371994,-0.0,21.438438029689515,-0.0
1866,trigramString_500000000000,10,16,16,4.364,2024-10-29 04:59:57.929200,2024-10-29 05:00:41.833700,779.6116112867578,80.42973853242007,934.5326657534246,92.6961424657534,805.4317870312022,81.45193886019786,1337.4581278538817,214.14589041095888,21.24109589041096,69.824,69.824,1.81891991163538e-05,1.2463145624577203e-05,886.8837258914001,0.0514581419492157,0.0052038738716237,0.0566620158208394,0.0012700426391002,0.0008702266800904,0.0021402693191907,0.0588022851400302,wordCounts,230,False,False,False,True,-6.4325279915225035,-27.288711542918914,-0.0,-27.288711542918914
1883,trigramString_500000000000,10,96,192,2.33,2024-10-27 21:59:27.028400,2024-10-27 21:59:50.407200,571.2963316731602,53.24706989393939,654.0108268398269,59.79627272727272,654.0108268398269,59.79627272727272,6787.881471861472,280.69134199134203,25.66363636363636,223.68,447.36,1.81891991163538e-05,1.2463145624577203e-05,713.8070995670996,0.0436007217893218,0.0039864181818181,0.0475871399711399,0.004068560058346,0.0055755128266108,0.0096440728849568,0.0572312128560968,wordCounts,240,False,True,False,False,-0.0,-19.066770831406796,6.585460122320233,-19.066770831406796
1931,trigramString_500000000000,10,48,32,2.496,2024-10-29 04:52:10.624800,2024-10-29 04:52:35.703200,574.6636063999999,53.2406368,663.2710655999999,60.256435200000006,618.9673359999999,54.40993653333334,3091.19344,265.7336,24.1412,119.808,79.872,1.81891991163538e-05,1.2463145624577203e-05,673.3772725333333,0.0412644890666666,0.0036273291022222,0.0448918181688888,0.0021792115677321,0.0009954563673262,0.0031746679350583,0.0480664861039472,wordCounts,240,True,False,True,False,16.013511325006444,-0.0,21.54440804483514,-0.0
1944,trigramString_500000000000,10,16,16,4.364,2024-10-29 04:59:57.929200,2024-10-29 05:00:41.833700,779.6116112867578,80.42973853242007,934.5326657534246,92.6961424657534,805.4317870312022,81.45193886019786,1337.4581278538817,214.14589041095888,21.24109589041096,69.824,69.824,1.81891991163538e-05,1.2463145624577203e-05,886.8837258914001,0.0536954524687468,0.0054301292573465,0.0591255817260933,0.0012700426391002,0.0008702266800904,0.0021402693191907,0.0612658510452841,wordCounts,240,False,False,False,True,-7.049716383491758,-27.46064048200307,-0.0,-27.46064048200307
1961,trigramString_500000000000,10,96,192,2.33,2024-10-27 21:59:27.028400,2024-10-27 21:59:50.407200,571.2963316731602,53.24706989393939,654.0108268398269,59.79627272727272,654.0108268398269,59.79627272727272,6787.881471861472,280.69134199134203,25.66363636363636,223.68,447.36,1.81891991163538e-05,1.2463145624577203e-05,713.8070995670996,0.0454174185305435,0.0041525189393939,0.0495699374699374,0.004068560058346,0.0055755128266108,0.0096440728849568,0.0592140103548943,wordCounts,250,False,True,False,False,-0.0,-18.577479256392245,7.0852783717574646,-18.577479256392245
2009,trigramString_500000000000,10,48,32,2.496,2024-10-29 04:52:10.624800,2024-10-29 04:52:35.703200,574.6636063999999,53.2406368,663.2710655999999,60.256435200000006,618.9673359999999,54.40993653333334,3091.19344,265.7336,24.1412,119.808,79.872,1.81891991163538e-05,1.2463145624577203e-05,673.3772725333333,0.0429838427777777,0.0037784678148148,0.0467623105925925,0.0021792115677321,0.0009954563673262,0.0031746679350583,0.0499369785276509,wordCounts,250,True,False,True,False,15.666954107047083,-0.0,21.64218516794477,-0.0
2022,trigramString_500000000000,10,16,16,4.364,2024-10-29 04:59:57.929200,2024-10-29 05:00:41.833700,779.6116112867578,80.42973853242007,934.5326657534246,92.6961424657534,805.4317870312022,81.45193886019786,1337.4581278538817,214.14589041095888,21.24109589041096,69.824,69.824,1.81891991163538e-05,1.2463145624577203e-05,886.8837258914001,0.0559327629882779,0.0056563846430692,0.0615891476313472,0.0012700426391002,0.0008702266800904,0.0021402693191907,0.0637294169505379,wordCounts,250,False,False,False,True,-7.625571327766653,-27.619689515756146,-0.0,-27.619689515756146
2039,trigramString_500000000000,10,96,192,2.33,2024-10-27 21:59:27.028400,2024-10-27 21:59:50.407200,571.2963316731602,53.24706989393939,654.0108268398269,59.79627272727272,654.0108268398269,59.79627272727272,6787.881471861472,280.69134199134203,25.66363636363636,223.68,447.36,1.81891991163538e-05,1.2463145624577203e-05,713.8070995670996,0.0472341152717652,0.0043186196969696,0.0515527349687349,0.004068560058346,0.0055755128266108,0.0096440728849568,0.0611968078536918,wordCounts,260,False,True,False,False,-0.0,-18.12351911783815,7.547892218401275,-18.12351911783815
2087,trigramString_500000000000,10,48,32,2.496,2024-10-29 04:52:10.624800,2024-10-29 04:52:35.703200,574.6636063999999,53.2406368,663.2710655999999,60.256435200000006,618.9673359999999,54.40993653333334,3091.19344,265.7336,24.1412,119.808,79.872,1.81891991163538e-05,1.2463145624577203e-05,673.3772725333333,0.0447031964888888,0.0039296065274074,0.0486328030162962,0.0021792115677321,0.0009954563673262,0.0031746679350583,0.0518074709513546,wordCounts,260,True,False,True,False,15.342854033800341,-0.0,21.732684166503734,-0.0
