,workload,label,rounds,cpus,memory,times,geomean,start,end,start_seconds,end_seconds,duration
0,parlayhash,removeDuplicates,21,48,96,"[7.031, 6.702, 6.409, 6.493, 7.623, 8.395, 6.699, 6.972, 6.94, 6.454, 6.905]",6.944896108653545,2024-11-13 21:36:13.652200,2024-11-13 21:37:30.275200,0.0229,76.6459,76.623
1,parallelKS,suffixArray,3,48,96,"[52.42, 51.896]",52.15734195681371,2024-11-13 21:36:13.629300,2024-11-13 21:37:57.945300,0.0,104.316,104.316
