,Unnamed: 0,workload,cpu,memory,start,end
0,0,spark,48,96,2025-02-17 10:28:37.000123,2025-02-17 10:33:25.124584
1,1,removeDuplicates,48,96,2025-02-17 10:28:37.432700,2025-02-17 10:30:06.472700
