,workload,label,rounds,cpus,memory,times,geomean,start,end,start_seconds,end_seconds,duration
0,parallelCK,nBody,6,48,96,"[27.148, 26.027, 25.394, 25.368]",25.97435813006747,2024-11-14 00:58:35.446400,2024-11-14 01:00:19.383400,0.2415,104.1785,103.937
1,histogram,wordCounts,42,48,96,"[3.381, 3.281, 3.326, 3.353, 3.33, 3.335, 3.318, 3.35, 3.553, 3.468, 3.506, 3.504, 3.46, 3.376, 3.382, 3.956, 3.406, 3.464, 3.57, 3.573, 3.376, 3.348]",3.434335145903707,2024-11-14 00:58:35.204900,2024-11-14 00:59:50.820900,0.0,75.616,75.616
