grid_ci,n_workloads,num_samples,adjusted_deviation_from_shapley (%),baseline_deviation_from_shapley (%),worst_case_baseline_deviation (%),worst_case_adjusted_deviation (%)
22.0,84.0,2.0,3.1363566044905093,8.910862308808639,39.0603897301827,7.680226598653543
38.0,91.0,5.0,1.2748606735429338,7.5643532510635545,36.24375543967382,3.485925016459056
11.0,5.0,5.0,0.6925697502822693,11.424416911565809,28.111020508872304,1.123773452467878
45.0,30.0,10.0,0.6150019288005282,7.095421427997566,23.707267184491073,2.897633303846536
29.0,5.0,7.0,0.8855784873108575,11.584559679011788,28.161510608213604,2.218658795620904
42.0,79.0,6.0,0.7562023567886416,7.833439048962765,37.3611938558053,1.5568810326493812
11.0,79.0,14.0,0.4632114494223154,9.057438808603107,42.643584259502326,1.5263085717341096
12.0,98.0,6.0,1.1065286832892203,9.94059682168136,33.092704464398224,3.771905202147331
19.0,76.0,8.0,1.0370947822252359,5.920508992355406,31.842836062324743,6.091537986131608
45.0,11.0,15.0,0.7474762199945224,9.02323964655984,22.141615122830206,1.1628379949291787
24.0,97.0,7.0,1.059085667489639,7.742548642032021,72.75374458230324,3.0491603163672036
6.0,26.0,9.0,1.3911709757668573,9.618072673009202,28.778452025933944,4.534387298535835
8.0,7.0,14.0,0.6190298873150039,10.01762500085111,32.86168592467921,1.8403952837176756
27.0,92.0,15.0,0.7820127228724856,9.509118474272922,27.510954886961848,1.7963506800049127
15.0,86.0,11.0,0.6035516509480907,6.146573559751392,14.07103670839455,1.6758865369930998
31.0,79.0,14.0,0.6087813174117436,7.792350541195087,71.13745196023545,1.2874315589470866
29.0,32.0,11.0,0.5706725533417425,7.900374633116037,36.531460881097495,1.200387633266588
21.0,98.0,5.0,1.2922010995850826,8.466776868340077,28.99453446978378,3.498941890149368
11.0,78.0,8.0,0.6640033517665098,9.73017972477437,29.08676325917417,2.9746725850659943
11.0,16.0,4.0,2.5202715072951323,7.521341368976831,33.7638104035556,5.619382139407043
19.0,63.0,1.0,1.6142095833953836,8.598929640769727,44.72585103042782,2.9549610337436736
18.0,4.0,3.0,0.6191899552835013,7.544955420823223,10.755599234678076,1.4798764434275564
43.0,57.0,14.0,0.8143318009136526,6.588436658979756,35.50943828819488,1.4272240748215668
44.0,72.0,3.0,1.617512910373229,6.9504652275022805,27.41981465420101,8.52887039088662
1.0,91.0,1.0,4.046265738855441,13.750789142879057,49.23550451959527,7.656968945394244
35.0,80.0,6.0,1.3424466337214318,6.2065580492589785,22.612197389297396,3.534019740155086
