,workload,label,rounds,cpus,memory,times,geomean,start,end,start_seconds,end_seconds,duration
0,quickHull,convexHull,3,48,96,"[49.039, 49.229]",49.133908159233584,2024-11-14 01:05:07.078300,2024-11-14 01:06:45.346300,13.2079,111.4759,98.268
1,parallelKS,suffixArray,3,48,96,"[50.811, 50.123]",50.46582757668797,2024-11-14 01:04:53.870400,2024-11-14 01:06:34.804400,0.0,100.934,100.934
