,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
248,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0454480950086653,0.0024274238778967,0.0478755188865621,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.0917910411227234,nBody,30,False,False,True,False,4.040399957674161,-0.0,-15.90069790184399,-15.90069790184399
275,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0473297478878774,0.0025216467620835,0.0498513946499609,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0791980055206061,nBody,30,True,False,False,True,17.205330270233766,13.719242584121668,-0.0,-0.0
320,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0606556623668005,0.0032193240977506,0.0638749864645511,0.0293285556823947,0.018421127464115,0.0477496831465098,0.1116246696110609,nBody,40,False,True,False,False,-0.0,-3.5964162130305883,-16.500036449167656,-16.500036449167656
326,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0605974600115537,0.003236565170529,0.0638340251820828,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.1077495474182441,nBody,40,False,False,True,False,3.471564311293448,-0.0,-12.455662761154493,-12.455662761154493
353,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0631063305171699,0.003362195682778,0.0664685261999479,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.0958151370705931,nBody,40,True,False,False,True,14.163116984402919,11.076065406869885,-0.0,-0.0
398,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0758195779585006,0.0040241551221882,0.0798437330806889,0.0293285556823947,0.018421127464115,0.0477496831465098,0.1275934162271987,nBody,50,False,True,False,False,-0.0,-3.140751468310893,-13.484694200899034,-13.484694200899034
404,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0757468250144422,0.0040457064631613,0.0797925314776035,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.1237080537137648,nBody,50,False,False,True,False,3.0451120663745233,-0.0,-10.028958084299228,-10.028958084299228
431,3Dplummer_10000000,5,48,56,18.68,2024-10-31 19:54:56.423800,2024-10-31 19:56:29.829400,5348.001770211959,287.2833453111349,6011.137722878625,339.78940064446823,5679.569746545292,302.5976114500238,4614.2938023630495,321.7953813104189,18.19001074113856,896.64,1046.08,1.81891991163538e-05,1.2463145624577203e-05,5982.167357995316,0.0788829131464624,0.0042027446034725,0.0830856577499349,0.0163091634956874,0.0130374473749577,0.0293466108706451,0.1124322686205801,nBody,50,True,False,False,True,11.882390216452825,9.114835093335603,-0.0,-0.0
476,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0909834935502007,0.0048289861466259,0.0958124796968267,0.0293285556823947,0.018421127464115,0.0477496831465098,0.1435621628433365,nBody,60,False,True,False,False,-0.0,-2.7892165696584166,-11.24589703910875,-11.24589703910875
482,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0908961900173306,0.0048548477557935,0.0957510377731242,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.1396665600092856,nBody,60,False,False,True,False,2.7135303320151434,-0.0,-8.2272058798302,-8.2272058798302
