,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
1453,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.2751494644779959,0.0146003198066131,0.289749784284609,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.3244864926575797,nBody,180,True,False,False,False,3.192434574453778,2.0177463021959086,1.2082283324452812,-0.0
1531,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.2904355458378845,0.0154114486847583,0.3058469945226428,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.3405837028956134,nBody,190,True,False,False,False,3.010676139926957,1.8850265987696986,1.300715789698884,-0.0
1609,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.3057216271977732,0.0162225775629035,0.3219442047606767,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.3566809131336472,nBody,200,True,False,False,False,2.8447295265856734,1.763973609428585,1.3847049226121506,-0.0
1687,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.3210077085576618,0.0170337064410487,0.3380414149987105,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.3727781233716811,nBody,210,True,False,False,False,2.692617449065226,1.6531137591708565,1.4613155994989877,-0.0
1765,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.3362937899175504,0.0178448353191938,0.3541386252367443,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.3888753336097149,nBody,220,True,False,False,False,2.5526791117732737,1.5512116086661387,1.5314792066119116,-0.0
1843,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.3515798712774391,0.018655964197339,0.3702358354747782,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.4049725438477488,nBody,230,True,False,False,False,2.4235093225131803,1.4572236176529076,1.5959767006562688,-0.0
1921,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.3668659526373278,0.0194670930754842,0.386333045712812,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.4210697540857826,nBody,240,True,False,False,False,2.3039111413283586,1.3702622784432505,1.655467800221235,-0.0
1999,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.3821520339972164,0.0202782219536294,0.4024302559508458,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.4371669643238164,nBody,250,True,False,False,False,2.192858679576647,1.289568003826501,1.7105136335251785,-0.0
2077,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.3974381153571051,0.0210893508317745,0.4185274661888797,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.4532641745618503,nBody,260,True,False,False,False,2.089467598350801,1.2144868814662861,1.7615944921806614,-0.0
2155,3Dplummer_10000000,5,64,64,17.707,2024-10-28 02:26:07.172100,2024-10-28 02:27:35.709900,5083.926180571028,275.4160192267081,5712.520844054361,325.1871499433748,5502.989289559917,292.00639613226366,6077.236862967158,322.61370328425824,18.364892412231026,1133.248,1133.248,1.81891991163538e-05,1.2463145624577203e-05,5794.995685692181,0.4127241967169937,0.0219004797099197,0.4346246764269135,0.0206128735202097,0.0141238348527608,0.0347367083729705,0.4693613847998841,nBody,270,True,False,False,False,1.9929715091439624,1.1444529145259947,1.8091238818930229,-0.0
