,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied
0,3Dplummer_10000000,5,16,8,113.4,2024-10-31 21:30:51.452800,2024-10-31 21:40:20.799300,12722.68060448276,1385.2719367980294,16748.35603448276,1704.018546798029,13393.62650948276,1398.553045548029,815.755552427868,147.6927339901478,15.026618578465866,1814.4,907.2,1.81891991163538e-05,1.2463145624577203e-05,14792.179555030789,0.0,0.0,0.0,0.0330024828767123,0.0113065657106164,0.0443090485873287,0.0443090485873287,nBody,0,False,False,False,False
1,3Dplummer_10000000,5,80,96,17.267,2024-10-27 23:10:24.996300,2024-10-27 23:11:51.334400,4971.072651648449,271.61187094224806,5584.047410465116,320.1462423255814,5481.884950662338,295.8790566339148,7710.660872093023,323.3941860465116,18.54093023255814,1381.36,1657.632,1.81891991163538e-05,1.2463145624577203e-05,5777.764007296253,0.0,0.0,0.0,0.0251258320913664,0.0206593090079591,0.0457851410993256,0.0457851410993256,nBody,0,False,False,False,False
2,3Dplummer_10000000,5,96,96,16.89,2024-10-27 23:02:10.074600,2024-10-27 23:03:34.525300,4886.736709679212,267.7145000483871,5486.328050179212,315.1891935483871,5486.328050179212,291.45184679838707,8978.801182795698,324.8270011947432,18.661290322580644,1621.44,1621.44,1.81891991163538e-05,1.2463145624577203e-05,5777.7798969776,0.0,0.0,0.0,0.0294926950152207,0.0202082428415144,0.0497009378567351,0.0497009378567351,nBody,0,False,False,False,False
3,3Dplummer_10000000,5,16,80,42.707,2024-10-28 01:20:50.779500,2024-10-28 01:24:24.320100,8106.747788331152,604.2499334237996,9622.83703514782,724.2914808071329,8359.429329467263,654.2672448335218,1602.5507414359463,225.322243078367,16.959549507273582,683.312,3416.56,1.81891991163538e-05,1.2463145624577203e-05,9013.696574300784,0.0,0.0,0.0,0.0124288980265939,0.0425810848151054,0.0550099828416994,0.0550099828416994,nBody,0,False,False,False,False
4,3Dplummer_10000000,5,96,48,19.583,2024-10-28 04:12:18.944300,2024-10-28 04:14:02.213800,4876.153997680005,292.9794113653945,5571.346254696672,348.02363414872787,5571.346254696672,306.74046706122783,7661.012367906066,284.49911937377686,17.771722113502932,1879.968,939.984,1.81891991163538e-05,1.2463145624577203e-05,5878.0867217579,0.0,0.0,0.0,0.0341951122843734,0.0117151574767725,0.045910269761146,0.045910269761146,nBody,0,False,False,False,False
5,3Dplummer_10000000,5,48,48,21.109,2024-10-28 05:48:55.604200,2024-10-28 05:50:45.341800,5301.168468137215,312.97718139429224,6050.533394520548,372.3107104109589,5675.850931328882,327.8105636484589,4129.110867579908,286.6328767123288,17.637534246575342,1013.232,1013.232,1.81891991163538e-05,1.2463145624577203e-05,6003.661494977341,0.0,0.0,0.0,0.0184298785990613,0.0126280579674816,0.031057936566543,0.031057936566543,nBody,0,False,False,False,False
6,3Dplummer_10000000,5,96,192,16.866,2024-10-27 21:59:32.005800,2024-10-27 22:00:56.337300,4885.090903940288,268.72712868992807,5483.830249640288,316.13436258992806,5483.830249640288,316.13436258992806,8983.599160671462,325.14112709832136,18.74388489208633,1619.136,3238.272,1.81891991163538e-05,1.2463145624577203e-05,5799.964612230216,0.0,0.0,0.0,0.0294507871004566,0.0403590555079908,0.0698098426084475,0.0698098426084475,nBody,0,False,False,False,False
7,3Dplummer_10000000,5,64,40,24.667,2024-10-31 20:09:41.224100,2024-10-31 20:11:58.980200,5223.469530916668,352.3995267378788,6099.142686400001,421.7339414545455,5807.251634572223,366.84419647051766,4653.513570909091,247.2592,17.09709090909091,1578.688,986.68,1.81891991163538e-05,1.2463145624577203e-05,6174.095831042741,0.0,0.0,0.0,0.0287150703745983,0.0122971365248578,0.0410122068994561,0.0410122068994561,nBody,0,False,False,False,False
8,3Dplummer_10000000,5,96,88,16.796,2024-10-31 19:20:18.549000,2024-10-31 19:21:42.531500,4862.75525214538,268.1010336281124,5459.009613012046,315.31151036144576,5459.009613012046,289.7391687975569,8989.355036144578,325.01843373493966,18.77301204819277,1612.416,1478.048,1.81891991163538e-05,1.2463145624577203e-05,5748.748781809603,0.0,0.0,0.0,0.0293285556823947,0.018421127464115,0.0477496831465098,0.0477496831465098,nBody,0,False,True,False,False
9,3Dplummer_10000000,5,32,64,23.595,2024-10-28 03:08:29.054900,2024-10-28 03:10:27.034200,6688.324331689727,352.147522685484,7525.941719439727,418.46874193548393,6967.530127606394,374.2545957688173,3122.24869269949,318.9634125636672,17.735483870967744,755.04,1510.08,1.81891991163538e-05,1.2463145624577203e-05,7341.784723375211,0.0,0.0,0.0,0.0137335729008117,0.0188203469447615,0.0325539198455733,0.0325539198455733,nBody,0,False,False,False,False
10,3Dplummer_10000000,5,16,72,42.768,2024-10-31 19:44:41.177500,2024-10-31 19:48:15.021200,8272.03356841405,609.056512237939,9790.28830201405,729.269519437939,8525.07602401405,654.136389937939,1615.3976908665115,228.91620608899296,17.05175644028103,684.288,3079.2960000000003,1.81891991163538e-05,1.2463145624577203e-05,9179.21241395199,0.0,0.0,0.0,0.0124466506849315,0.038377714469178,0.0508243651541095,0.0508243651541095,nBody,0,False,False,False,False
11,3Dplummer_10000000,5,32,40,30.581,2024-10-31 20:15:19.255200,2024-10-31 20:18:02.101600,6710.036952467947,432.7319317628204,7795.655826584614,518.6895162461537,7071.909910506836,450.6397618635149,2571.565833846154,254.9182769230769,16.96116923076923,978.592,1223.24,1.81891991163538e-05,1.2463145624577203e-05,7522.549672370351,0.0,0.0,0.0,0.0177998047416708,0.0152454182538078,0.0330452229954787,0.0330452229954787,nBody,0,False,False,False,False
12,3Dplummer_10000000,5,32,88,23.703,2024-10-31 19:27:43.916400,2024-10-31 19:29:42.437600,6705.469628464877,353.5013702845732,7546.920992814877,420.1261577345732,6985.953416581544,384.0377311991565,3107.1383347421806,318.3951817413356,17.724598478444634,758.496,2085.864,1.81891991163538e-05,1.2463145624577203e-05,7369.9911477807,0.0,0.0,0.0,0.0137964347729578,0.0259964267850631,0.0397928615580209,0.0397928615580209,nBody,0,False,False,False,False
13,3Dplummer_10000000,5,64,80,17.711,2024-10-28 00:34:41.023700,2024-10-28 00:36:09.582400,5089.770157315383,274.3590126531332,5718.506819932049,324.14138663646656,5508.9279323931605,295.1016684795221,6090.88791619479,322.8788221970555,18.301698754246885,1133.504,1416.88,1.81891991163538e-05,1.2463145624577203e-05,5804.029600872683,0.0,0.0,0.0,0.0206175299551834,0.0176587817725509,0.0382763117277344,0.0382763117277344,nBody,0,False,False,False,False
14,3Dplummer_10000000,5,80,88,17.209,2024-10-31 19:22:06.050800,2024-10-31 19:23:32.096600,4944.674924887063,269.1206660066433,5555.590696270397,317.49201002331,5453.77140103984,291.2908653476155,7606.010372960373,322.83053613053613,18.44918414918415,1376.72,1514.392,1.81891991163538e-05,1.2463145624577203e-05,5745.062266387456,0.0,0.0,0.0,0.0250414342074666,0.0188740880286947,0.0439155222361613,0.0439155222361613,nBody,0,False,False,True,False
15,3Dplummer_10000000,5,64,72,17.794,2024-10-31 19:38:28.871900,2024-10-31 19:39:57.846800,5114.805902717287,275.6586621679444,5746.48904735062,325.67433393461107,5535.927999139509,294.4145390804444,6303.385186020293,322.945321307779,18.30248027057497,1138.816,1281.168,1.81891991163538e-05,1.2463145624577203e-05,5830.342538219953,0.0,0.0,0.0,0.0207141509808895,0.0159673833535483,0.0366815343344378,0.0366815343344378,nBody,0,False,False,False,False
16,3Dplummer_10000000,5,16,32,50.236,2024-10-29 04:48:51.381700,2024-10-29 04:53:06.946300,8390.99239022911,696.9729383551287,10174.359505762444,838.1771244217953,8688.220242817999,720.5069693662398,1462.8499294394362,202.5312426499412,16.684790278322225,803.776,1607.552,1.81891991163538e-05,1.2463145624577203e-05,9408.727212184238,0.0,0.0,0.0,0.0146200417089463,0.0200351546750803,0.0346551963840267,0.0346551963840267,nBody,0,False,False,False,False
17,3Dplummer_10000000,5,64,96,17.745,2024-10-27 23:18:57.239000,2024-10-27 23:20:25.967700,5099.023572691176,277.80435972058825,5728.967227941176,327.68230147058824,5518.986009524509,302.74333059558825,6124.429083710407,322.8496606334841,18.46617647058824,1135.68,1703.52,1.81891991163538e-05,1.2463145624577203e-05,5821.729340120098,0.0,0.0,0.0,0.0206571096524606,0.0212312178343797,0.0418883274868404,0.0418883274868404,nBody,0,False,False,False,False
18,3Dplummer_10000000,5,64,32,27.553,2024-10-29 04:39:14.877100,2024-10-29 04:41:50.848500,5289.0097277858185,384.4222408126393,6267.135257969152,461.8686724293059,5941.093414574708,397.329979415417,4557.732802056556,227.45745501285347,16.762917737789202,1763.392,881.696,1.81891991163538e-05,1.2463145624577203e-05,6338.423393990125,0.0,0.0,0.0,0.0320746882081853,0.0109887056446072,0.0430633938527925,0.0430633938527925,nBody,0,False,False,False,False
19,3Dplummer_10000000,5,80,24,34.231,2024-10-31 20:28:00.020200,2024-10-31 20:31:17.992000,5755.7766573954905,456.10376127907807,6970.969740678825,552.3208265957447,6768.437560131602,468.1308944436614,4648.596783181358,203.6449341438703,16.135106382978723,2738.48,821.5440000000001,1.81891991163538e-05,1.2463145624577203e-05,7236.568454575264,0.0,0.0,0.0,0.0498107579961525,0.0102390225089976,0.0600497805051502,0.0600497805051502,nBody,0,False,False,False,False
20,3Dplummer_10000000,5,80,8,90.96,2024-10-31 20:57:58.896300,2024-10-31 21:05:37.360900,11833.520229739132,1164.8065359257157,15062.580521739132,1420.4784199257151,14524.4038064058,1175.459531092382,2449.190487218702,165.59565217391307,15.616517369455972,7276.799999999999,727.68,1.81891991163538e-05,1.2463145624577203e-05,15699.863337498182,0.0,0.0,0.0,0.1323591641298833,0.0090691818080923,0.1414283459379756,0.1414283459379756,nBody,0,False,False,False,False
21,3Dplummer_10000000,5,96,16,48.638,2024-10-29 04:54:24.803200,2024-10-29 04:59:02.578800,7419.831479903011,626.3714891365257,9146.46994166968,763.083990169859,9146.46994166968,637.7641975559702,4382.73201301048,188.0519335019877,15.689049512106974,4669.248,778.208,1.81891991163538e-05,1.2463145624577203e-05,9784.234139225651,0.0,0.0,0.0,0.0849298815956367,0.0096989196302109,0.0946288012258477,0.0946288012258477,nBody,0,False,False,False,False
22,3Dplummer_10000000,5,16,64,42.576,2024-10-28 03:35:13.537000,2024-10-28 03:38:46.423200,8087.6440024,603.9523727529412,9599.0827776,723.6257031529411,8339.550464933334,643.8434828862745,1603.6181835294128,225.4576,16.996094117647058,681.216,2724.864,1.81891991163538e-05,1.2463145624577203e-05,8983.393947819608,0.0,0.0,0.0,0.012390773465246,0.0339603768391679,0.046351150304414,0.046351150304414,nBody,0,False,False,False,False
23,3Dplummer_10000000,5,64,48,20.309,2024-10-28 05:17:27.275800,2024-10-28 05:19:13.492400,5078.995992830503,302.45914610911944,5799.96109254717,359.5440217924528,5559.639392641615,316.7303650299528,5399.494198113207,285.5857547169811,17.703679245283016,1299.776,974.832,1.81891991163538e-05,1.2463145624577203e-05,5876.369757671568,0.0,0.0,0.0,0.0236418844706578,0.0121494731754978,0.0357913576461557,0.0357913576461557,nBody,0,False,False,False,False
24,3Dplummer_10000000,5,32,16,52.932,2024-10-29 05:15:03.109900,2024-10-29 05:19:52.056200,7763.306641424958,693.6531076592721,9642.381172824958,842.4352554592721,8389.66481855829,706.0516199759388,1934.934762564992,182.16544194107453,15.915424610051993,1693.824,846.912,1.81891991163538e-05,1.2463145624577203e-05,9095.71643853423,0.0,0.0,0.0,0.0308093020040588,0.0105551875872019,0.0413644895912607,0.0413644895912607,nBody,0,False,False,False,False
25,3Dplummer_10000000,5,64,8,89.933,2024-10-31 21:06:13.308100,2024-10-31 21:13:46.158400,11234.944258216636,1130.3692499267509,14427.546272733303,1383.154425210084,13363.345601227747,1140.9019655635564,2062.440411322424,160.42549756744802,15.37983193277311,5755.712,719.464,1.81891991163538e-05,1.2463145624577203e-05,14504.247566791304,0.0,0.0,0.0,0.1046917916243869,0.0089667846036408,0.1136585762280277,0.1136585762280277,nBody,0,False,False,False,False
26,3Dplummer_10000000,5,32,80,23.627,2024-10-28 01:01:02.130400,2024-10-28 01:03:00.268100,6675.683820454518,351.38227241327684,7514.437201271185,417.7934377966101,6955.268280726741,379.0535913229991,3106.307169491525,318.04449152542367,17.682881355932203,756.064,1890.16,1.81891991163538e-05,1.2463145624577203e-05,7334.32187204974,0.0,0.0,0.0,0.0137521986407069,0.0235573393337508,0.0373095379744577,0.0373095379744577,nBody,0,False,False,False,False
27,3Dplummer_10000000,5,16,192,42.572,2024-10-27 22:49:44.641400,2024-10-27 22:53:17.503600,8156.810434098039,603.9296892431372,9668.107210164706,723.5917763764705,8408.693230109151,723.5917763764705,1602.8018447058837,227.10014117647057,16.996894117647056,681.152,8173.824,1.81891991163538e-05,1.2463145624577203e-05,9132.28500648562,0.0,0.0,0.0,0.0123896093565026,0.1018715588216641,0.1142611681781667,0.1142611681781667,nBody,0,False,False,False,False
28,3Dplummer_10000000,5,96,32,27.4,2024-10-28 19:10:17.444800,2024-10-28 19:12:56.380700,5284.639779903076,379.8257977960388,6257.333843236409,456.84217446270543,6257.333843236409,392.66186057381657,6118.327515802781,228.3698482932996,16.67307206068268,2630.4,876.8,1.81891991163538e-05,1.2463145624577203e-05,6649.995703810226,0.0,0.0,0.0,0.047844869355657,0.0109276860836292,0.0587725554392863,0.0587725554392863,nBody,0,False,False,False,False
29,3Dplummer_10000000,5,48,96,18.427,2024-10-27 23:27:48.589400,2024-10-27 23:29:20.728400,5273.821418087939,284.3324093573268,5927.9759255712725,336.12732807399345,5600.8986718296055,310.22986871566013,4578.189303590858,321.7005440696409,18.24102285092492,884.496,1768.992,1.81891991163538e-05,1.2463145624577203e-05,5911.128540545265,0.0,0.0,0.0,0.0160882738616184,0.022047204904712,0.0381354787663305,0.0381354787663305,nBody,0,False,False,False,False
30,3Dplummer_10000000,5,96,64,16.901,2024-10-28 01:45:38.656400,2024-10-28 01:47:03.166100,4881.728435033691,267.7686264188147,5481.710273150358,315.274238902148,5481.710273150358,283.6038305799258,8996.022637231503,324.34236276849646,18.65417661097852,1622.496,1081.664,1.81891991163538e-05,1.2463145624577203e-05,5765.314103730284,0.0,0.0,0.0,0.0295119028094875,0.0134809359488626,0.0429928387583502,0.0429928387583502,nBody,0,False,False,False,False
31,3Dplummer_10000000,5,16,40,49.088,2024-10-31 20:18:43.770600,2024-10-31 20:22:53.612200,8409.162938540068,679.3850693175086,10151.776302806737,817.362437850842,8699.59849925118,708.1303544286197,1453.79203287891,206.8076984763432,16.6509623095429,785.408,1963.52,1.81891991163538e-05,1.2463145624577203e-05,9407.7288536798,0.0,0.0,0.0,0.0142859424995772,0.0244716356967698,0.038757578196347,0.038757578196347,nBody,0,False,False,False,False
32,3Dplummer_10000000,5,16,96,42.652,2024-10-27 23:54:07.838600,2024-10-27 23:57:41.102200,8172.761503173666,605.9583326437138,9686.898261907,725.8452851103805,8425.117629629221,665.9018088770471,1602.4287505871312,227.11474870831373,17.01784875528417,682.432,4094.592,1.81891991163538e-05,1.2463145624577203e-05,9091.019438506268,0.0,0.0,0.0,0.0124128915313715,0.0510314963692288,0.0634443879006003,0.0634443879006003,nBody,0,False,False,False,False
33,3Dplummer_10000000,5,48,8,90.109,2024-10-31 21:14:21.847200,2024-10-31 21:21:54.230600,10813.360853680868,1127.4465433211678,14012.2108300642,1380.7264223378345,12412.785841872535,1137.999871613529,1610.3408479079033,155.50290015497012,15.322847022359973,4325.232,720.872,1.81891991163538e-05,1.2463145624577203e-05,13550.785713486064,0.0,0.0,0.0,0.0786725060724251,0.0089843327126802,0.0876568387851053,0.0876568387851053,nBody,0,False,False,False,False
34,3Dplummer_10000000,5,32,192,23.619,2024-10-27 22:34:11.403400,2024-10-27 22:36:09.502900,6686.471837144398,352.2931837985568,7524.941219694398,418.6818626485568,6965.961631327731,418.6818626485568,3118.8326570458403,318.59694397283533,17.72648556876061,755.808,4534.848,1.81891991163538e-05,1.2463145624577203e-05,7384.643493976288,0.0,0.0,0.0,0.0137475422057331,0.0565184710093226,0.0702660132150558,0.0702660132150558,nBody,0,False,False,False,False
35,3Dplummer_10000000,5,32,48,26.269,2024-10-28 06:22:31.503300,2024-10-28 06:24:46.129400,6711.791873238689,383.3331657630952,7644.335681622022,457.17050877976186,7022.639809366467,401.7925015172619,2863.753058035714,291.0021577380952,17.403422619047618,840.608,1260.9119999999998,1.81891991163538e-05,1.2463145624577203e-05,7424.432310883729,0.0,0.0,0.0,0.0152899862907999,0.0157149298757768,0.0310049161665768,0.0310049161665768,nBody,0,False,False,False,False
36,3Dplummer_10000000,5,96,8,91.324,2024-10-31 20:49:42.444400,2024-10-31 20:57:22.813000,12587.51443552709,1176.7933992953028,15829.496648660424,1433.4884205619694,15829.496648660424,1187.489025181414,2963.824970594642,173.33336963624484,15.696732737965588,8767.104,730.592,1.81891991163538e-05,1.2463145624577203e-05,17016.98567384184,0.0,0.0,0.0,0.1594666003297818,0.0091054744881511,0.1685720748179329,0.1685720748179329,nBody,0,False,False,False,False
37,3Dplummer_10000000,5,64,88,17.756,2024-10-31 19:23:55.624700,2024-10-31 19:25:24.407300,5100.933899503537,275.7754589054928,5731.268052370204,325.68431963882614,5521.156668081315,298.6503534082706,6168.326997742664,322.7792325056434,18.34221218961625,1136.384,1562.528,1.81891991163538e-05,1.2463145624577203e-05,5819.807021489585,0.0,0.0,0.0,0.0206699148486385,0.0194740140064793,0.0401439288551179,0.0401439288551179,nBody,0,False,False,False,False
38,3Dplummer_10000000,5,16,16,70.913,2024-10-29 05:20:26.690500,2024-10-29 05:26:38.004100,9434.441954745,930.8790373767692,11951.838090261666,1130.2024796601024,9854.007977331112,947.4893242337135,1152.1432344213654,168.54227137847317,15.937874291880226,1134.608,1134.608,1.81891991163538e-05,1.2463145624577203e-05,10801.497301564825,0.0,0.0,0.0,0.0206376108310079,0.0141407847308102,0.0347783955618182,0.0347783955618182,nBody,0,False,False,False,False
39,3Dplummer_10000000,5,48,80,18.476,2024-10-28 00:47:15.111200,2024-10-28 00:48:47.494300,5275.677514196241,284.39467621243665,5931.571511062907,336.32732494577,5603.624512629574,306.0332798513255,4595.621106290671,321.0419739696313,18.20347071583513,886.848,1478.08,1.81891991163538e-05,1.2463145624577203e-05,5909.6577924809,0.0,0.0,0.0,0.0161310548579401,0.018421526284775,0.0345525811427152,0.0345525811427152,nBody,0,False,False,False,False
40,3Dplummer_10000000,5,48,72,18.657,2024-10-31 19:40:21.443900,2024-10-31 19:41:54.732200,5338.883948042803,285.60499688716425,6001.203405692803,338.04640343716426,5670.043676867804,305.27052434341425,4580.0542857142855,321.6596133190118,18.119011815252414,895.5360000000001,1343.304,1.81891991163538e-05,1.2463145624577203e-05,5975.314201211218,0.0,0.0,0.0,0.016289082619863,0.016741793370077,0.03303087598994,0.03303087598994,nBody,0,False,False,False,False
