,Unnamed: 0,Index,CPU Cores,Batch Size,start time,end time,Average Latency (ms),99th Percentile (ms),95th Percentile (ms),Number of Queries,Average CPU Utilization (%),Runtime (s),Average CPU Power (W),Average DRAM Power (W),Total CPU Energy (Joules),Total CPU Idle Energy (Joules),Total CPU Dynamic Energy (Joules),Total DRAM Energy (Joules),Total DRAM Idle Energy (Joules),Total DRAM Dynamic Energy (Joules),Total Energy (Joules),Total Idle Energy (Joules),Total Dynamic Energy (Joules),CPU Energy per Query (Joules),CPU Idle Energy per Query (Joules) Unscaled,CPU Dynamic Energy per Query (Joules),DRAM Energy per Query (Joules),DRAM Idle Energy per Query (Joules) Unscaled,DRAM Dynamic Energy per Query (Joules),Total Energy per Query (Joules),Total Idle Energy per Query (Joules) Unscaled,Total Dynamic Energy per Query (Joules),Throughput (queries/s),CPU-Seconds Per Query,Memory Footprint (GB),Memory Usage per Query (GB-second),CPU Idle Energy per Query (Joules),DRAM Idle Energy per Query (Joules),Total Idle Energy per Query (Joules)
0,0,hnsw,8,8,2024-10-27 02:14:36.481216,2024-10-27 04:08:29.351735,13665.653789999998,14023.36228,13975.89695,4000,847.7116403156258,6832.870519,77.35273316394596,4.939497961530155,528541.21,242565.42296922093,285975.78703077906,33750.95,19205.94633598052,14545.00366401948,562292.1599999999,261771.36930520143,300520.7906947985,76.54739306955352,60.64135574230524,71.49394675769476,8.112636845875329,4.801486583995129,3.63625091600487,84.66002991542885,65.44284232630037,75.13019767369963,0.5854055025449839,13.665741038,179.0,305.77095572525,5.05344631185877,4.476385929870459,9.52983224172923
1,1,hnsw,8,16,2024-10-27 04:31:01.068043,2024-10-27 06:26:40.909733,13879.594958,14505.43717,14393.74415,8000,847.7196000057761,6939.84169,77.41545902612657,4.960388368743898,537251.03,246362.8763626339,290888.15363736614,34424.31,19506.622686280163,14917.687313719834,571675.3400000001,265869.49904891406,305805.840951086,38.92729916678154,30.79535954532924,36.36101920467077,4.137943636118723,2.4383278357850204,1.8647109142149796,43.06524280290026,33.23368738111426,38.22573011888574,1.1527640481378183,6.939841690000001,179.0,155.27895781375,2.56627996211077,2.273232721903743,4.8395126840145135
2,2,hnsw,8,32,2024-10-27 06:49:29.363645,2024-10-27 08:51:04.082804,14589.362326,16501.948679999998,15309.48935,16000,850.9541082811298,7294.719159,76.93866587139988,4.907914783234495,561245.9600000001,258960.9496220156,302285.0103779845,35801.86,20504.11819076985,15297.741809230152,597047.8200000001,279465.06781278545,317582.7521872147,20.24156809457203,16.185059351375976,18.892813148624032,2.1508475206770807,1.2815073869231155,0.9561088630768844,22.392415615249114,17.46656673829909,19.84892201170092,2.1933675102844354,3.6473595795,179.0,81.60967059131251,1.348754945947998,1.1947386576001962,2.5434936035481943
3,3,hnsw,8,64,2024-10-27 09:14:27.987983,2024-10-27 11:16:27.093632,14638.138620000002,17516.395789999995,15321.87675,32000,851.5171867298319,7319.105649,77.38413095285544,4.921232419280795,566382.63,259826.6647332761,306555.9652667239,36019.020000000004,20572.664143303347,15446.355856696657,602401.65,280399.3288765794,322002.3211234205,10.256505853994693,8.119583272914879,9.57987391458512,1.0820649749572033,0.6428957544782296,0.4826986205217705,11.338570828951896,8.762479027393107,10.062572535106892,4.372118880996358,1.82977641225,179.0,40.94124722409375,0.6766319394095732,0.5993663544354327,1.275998293845006
4,4,hnsw,8,128,2024-10-27 11:39:56.588794,2024-10-27 13:41:12.772568,14552.294244,15994.118609999998,15132.29525,64000,852.2094140980084,7276.183774,77.5588450660812,4.981299418180419,564332.41,258302.94747051568,306029.4625294844,36244.850000000006,20452.018621688763,15792.831378311244,600577.26,278754.96609220444,321822.2939077956,5.118042314875427,4.035983554226807,4.781710352023193,0.5446887172784869,0.3195627909638869,0.2467629902861131,5.662731032153914,4.355546345190694,5.028473342309306,8.795819620264583,0.90952297175,179.0,20.35057649290625,0.33633196285223393,0.29792572699237374,0.6342576898446077
5,5,hnsw,8,256,2024-10-27 14:28:19.562312,2024-10-27 17:30:02.966535,28998.34069148936,31821.09625,30064.70525,96256,852.1395539522059,10903.404223,77.4825203873394,5.027962724188181,844823.24,387068.48751225177,457754.7524877482,54821.91,30647.470313412112,24174.439686587884,899645.15,417715.9578256639,481929.1921743361,5.090700421588637,4.021240104640248,4.755597079535283,0.5479847579807601,0.3183954279568246,0.2511473537918455,5.638685179569397,4.3396355325970735,5.006744433327129,8.828068558345699,0.9062004839594414,179.0,20.276235828592505,0.335103342053354,0.2968374041889146,0.6319407462422686
6,6,hnsw,8,512,2024-10-27 19:04:36.567014,2024-10-27 22:06:24.689279,55468.6487925532,59862.96718,59685.47635,96256,855.033467555972,10908.122265,78.60058671610426,5.127797309301612,857384.81,387235.9769810093,470148.8330189908,55934.64000000001,30660.731864499747,25273.90813550026,913319.45,417896.708845509,495422.741154491,5.219607066233879,4.02298014649486,4.88435872069264,0.5595355400876256,0.3185332017172929,0.2625696905699411,5.779142606321504,4.341513348212153,5.146928411262581,8.82425019279888,0.9065926084607712,179.0,20.285009614309757,0.33524834554123834,0.2969658495176845,0.6322141950589228
7,7,hnsw,8,1024,2024-10-28 00:52:40.575270,2024-10-28 03:31:12.655947,40553.97181914894,49466.64244999998,44664.33265,96256,857.1116797833896,9512.080677,80.35628333643075,5.305271445186672,764355.45,337676.80308268673,426678.6469173132,50464.170000000006,26736.714901589545,23727.45509841046,814819.62,364413.5179842763,450406.1020157237,4.7250912203658695,3.508111734153577,4.432748575853071,0.5054632604222581,0.2777667355966334,0.2465036475483134,5.230554480788127,3.7858784697502106,4.679252223401385,10.11934226259717,0.7905652158410904,179.0,17.688896704444396,0.29234264451279807,0.2589596128739447,0.5513022573867428
8,8,hnsw,16,8,2024-10-21 11:24:52.253402,2024-10-21 12:26:18.683407,7372.779618,7585.28621,7517.4693,4000,1642.180310979422,3686.430005,97.53404771345984,6.599832349183584,359552.44,130867.46645099897,228684.97354900104,24329.82,10361.878898554083,13967.941101445917,383882.26,141229.34534955304,242652.9146504469,62.62405448937521,32.71686661274974,57.17124338725026,5.907058612394266,2.590469724638521,3.491985275361479,68.53111310176948,35.30733633738826,60.663228662611736,1.085060612726865,14.74572002,179.0,164.96774272375,5.452811102124957,2.4150733370327875,7.867884439157745
9,9,hnsw,16,16,2024-10-21 12:38:34.572145,2024-10-21 13:40:26.971806,7424.730862,7638.817379999999,7590.54495,8000,1641.8948922902496,3712.399661,97.84166931589426,6.613207693642228,363227.38,131789.38361224014,231437.9963877598,24550.87,10434.874840466482,14115.995159533515,387778.25,142224.25845270662,245553.9915472933,31.675361707058308,16.473672951530016,28.92974954846997,2.98054275200126,1.3043593550583104,1.7644993949416896,34.65590445905957,17.778032306588326,30.694248943411665,2.154940397189095,7.424799322,179.0,83.06494241487499,2.745612158588336,1.2160433570595706,3.961655515647907
