,Time (s),grid CI (gCO2eq/kWh),grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq),Min CF % Improvement,Min Energy % Improvement,Min Embodied % Improvement
10,36000,195.91,5.441944444444444e-05,1.7876607034905042e-05,1.2339234019045395e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00022635924391896552,0.0003758323130075651,0.00022635924391896552,0.0002707532944223434,5.0668966072240485e-05,4.4100898811521156e-05,5.0668966072240485e-05,2.4344654857948127e-05,0.00017569027784672503,0.000331731414196044,0.00017569027784672503,0.00024640863956439525,39.77121282958734,39.77121282958734,27.95901654765554
11,39600,182.14,5.059444444444444e-05,1.787432736094216e-05,1.2313393732612497e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00021394577667607081,0.0003524766416344001,0.00021394577667607081,0.0002534014917519642,5.060430759842036e-05,4.406175836316606e-05,5.060430759842036e-05,2.4312269097383245e-05,0.00016334146907765045,0.000308414883271234,0.00016334146907765045,0.00022908922265458092,39.302140509503,39.302140509503,28.10828809053389
12,43200,201.88,5.6077777777777776e-05,1.803407367544437e-05,1.241776263294008e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0002320870689905991,0.0003862880282404766,0.0002320870689905991,0.0002784401944164934,5.104295030499424e-05,4.444770412278296e-05,5.104295030499424e-05,2.4522700897734193e-05,0.00018104411868560488,0.00034184032411769367,0.00018104411868560488,0.0002539174935187592,39.91864825639445,39.91864825639445,27.919020507890163
13,46800,203.39,5.6497222222222216e-05,1.792670838557962e-05,1.2364209095117948e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00023318620471604322,0.00038860841189867443,0.00023318620471604322,0.000280218009236017,5.078793198241346e-05,4.421122781754845e-05,5.078793198241346e-05,2.4401291350241132e-05,0.00018239827273362975,0.00034439718408112597,0.00018239827273362975,0.00025581671788577585,39.99455555356221,39.99455555356221,27.891934230934528
14,50400,176.89,4.91361111111111e-05,1.843294308107897e-05,1.253684784435228e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0002104321329070611,0.00034474105409201887,0.0002104321329070611,0.0002473633305617287,5.17988153208879e-05,4.521591572675825e-05,5.17988153208879e-05,2.487737143485482e-05,0.0001586333175861732,0.00029952513836526063,0.0001586333175861732,0.00022248595912687392,38.95936372843711,38.95936372843711,28.246628121145655
15,54000,141.1,3.919444444444444e-05,1.892711756593595e-05,1.2806554798063809e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00017743879742112631,0.0002852588944766775,0.0001795654467526021,0.00020293476723406964,2.885154660445684e-05,4.6336417098994854e-05,5.3028270476899485e-05,2.546419889893529e-05,0.00014858725081666945,0.00023892247737768263,0.00012653717627570264,0.00017747056833513435,37.797277891493216,37.05176237115256,28.859442715585015
16,57600,137.3,3.813888888888889e-05,1.8258135782414643e-05,1.248015423275352e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00017251401931384937,0.0002773610166139853,0.00017458612275753134,0.00019740756356976632,2.7928409553900926e-05,4.4873021263483286e-05,5.1456751370897904e-05,2.4716500264210345e-05,0.00014458560975994842,0.000232487995350502,0.00012312937138663342,0.000172691063305556,37.80163433928273,37.05455622824241,28.826492641355394
17,61200,140.48,3.902222222222222e-05,1.819358209784293e-05,1.2446378357781038e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001757719377478503,0.00028260130241352977,0.00017728080571121125,0.00020133235432531703,2.7837586261487962e-05,4.472866157712397e-05,5.129963970688307e-05,2.4641599968692854e-05,0.00014793435148636235,0.0002378726408364058,0.00012598116600432818,0.00017669075435662417,37.802148735095464,37.268227641854004,28.757457023072064
18,64800,138.94,3.859444444444444e-05,1.830085263099981e-05,1.25083405053921e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00017430561000605343,0.000280241590531379,0.00017617482024481548,0.0001995269026254883,2.7992976211099125e-05,4.497660820072539e-05,5.1574712011320635e-05,2.4773105570324846e-05,0.00014631263379495432,0.00023526498233065362,0.00012460010823349486,0.00017475379705516345,37.80166260277622,37.13466302030248,28.801823367061203
19,68400,130.91,3.6363888888888884e-05,1.8327107864764357e-05,1.2547692878345184e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001659060547960848,0.0002667386067570051,0.00016909892138623878,0.00018948842543828315,2.8049520392043715e-05,4.507070092063063e-05,5.170004295780342e-05,2.4834477169307705e-05,0.0001378565344040411,0.00022166790583637443,0.00011739887842843537,0.00016465394826897545,37.80200893557836,36.605006885904075,28.961005029577773
20,72000,127.5,3.541666666666666e-05,1.84139183244762e-05,1.2573877758843758e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00016242252325413624,0.00026113206915895923,0.00016620601271630076,0.00018527696171287978,2.8156935166784332e-05,4.523826429960746e-05,5.1865190780424904e-05,2.4911990325710197e-05,0.00013426558808735193,0.0002158938048593518,0.00011434082193587587,0.00016036497138716957,37.800621816669874,36.351742146566465,29.048560634620518
21,75600,124.86,3.4683333333333334e-05,1.833503355182762e-05,1.2522450319979216e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001595236786678753,0.0002564713661512904,0.00016362214455474425,0.00018185268381737252,2.8038178051508536e-05,4.5047833016085206e-05,5.164885022601121e-05,2.480821066127841e-05,0.00013148550061636678,0.00021142353313520522,0.00011197329432873304,0.0001570444731560941,37.800589180090554,36.202568337307156,29.09435211176788
22,79200,129.81,3.6058333333333333e-05,1.910646709265309e-05,1.2904140818482282e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00016580491301023876,0.00026654795884491775,0.00016988616738474057,0.000188947222431996,2.9106748385774805e-05,4.674266622693765e-05,5.347375879261469e-05,2.5676815092635337e-05,0.00013669816462446395,0.00021980529261798006,0.00011641240859212587,0.00016327040733936067,37.79546700385467,36.26431501447614,29.11323603797365
23,82800,143.51,3.986388888888888e-05,1.8813998077078746e-05,1.275106767630658e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00017982035910696066,0.0002890918541543013,0.00018146027272325437,0.00020583919332707373,2.8695225409581268e-05,4.6088560543590944e-05,5.2761830715273634e-05,2.5337412591601528e-05,0.0001511251336973794,0.00024300329361071036,0.00012869844200798073,0.0001805017807354722,37.798192331291894,37.23092846939892,28.79799608009429
24,86400,177.85,4.9402777777777776e-05,1.817508347673197e-05,1.2704414356284882e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00021139089354880604,0.00034620774583601617,0.00021139089354880604,0.0002486365852182217,5.189665683276268e-05,4.505705411652032e-05,5.189665683276268e-05,2.4943172189138444e-05,0.00015949423671604335,0.00030115069171949584,0.00015949423671604335,0.00022369341302908323,38.94102714589959,38.94102714589959,28.18283582367038
