,index,cpu,batch size,start time,end time,avg latency (ms),99th percentile (ms),95th percentile (ms),num queries
1,hnsw,48,16,2024-10-20 13:23:40.914754,2024-10-20 13:42:08.288027,2214.6796400000003,2383.17179,2343.49645,8000
2,hnsw,48,32,2024-10-20 13:45:48.336129,2024-10-20 14:04:23.101925,2229.470478,2395.04492,2362.7512,16000
3,hnsw,48,64,2024-10-20 14:08:07.839844,2024-10-20 14:26:49.756373,2243.774104,2433.75578,2392.6555,32000
4,hnsw,48,128,2024-10-20 14:30:35.985008,2024-10-20 14:49:23.286080,2254.543876,2464.4258600000003,2418.9612,64000
5,hnsw,48,256,2024-10-20 14:56:54.581546,2024-10-20 15:25:25.364838,4549.8955000000005,4843.6402499999995,4787.77675,96256
6,hnsw,48,512,2024-10-20 15:40:34.822095,2024-10-20 16:09:05.166636,9097.518292553192,9574.13785,9416.98,96256
7,hnsw,48,1024,2024-10-20 16:35:54.613024,2024-10-20 17:01:01.883855,16034.741648936171,16551.84946,16466.807,96256
104,hnsw,56,8,2024-10-25 09:34:35.247210,2024-10-25 09:51:00.986600,1971.4084679999999,2148.11348,2093.6501,4000
105,hnsw,56,16,2024-10-25 09:54:18.686474,2024-10-25 10:10:51.520479,1985.6007339999999,2151.1555900000003,2099.3323,8000
106,hnsw,56,32,2024-10-25 10:14:10.876269,2024-10-25 10:30:53.938408,2006.056978,2180.8854199999996,2130.3685,16000
107,hnsw,56,64,2024-10-25 10:34:15.029322,2024-10-25 10:50:57.309837,2004.493334,2186.45708,2147.3939,32000
108,hnsw,56,128,2024-10-25 10:54:21.266990,2024-10-25 11:11:09.399322,2016.197308,2218.7900799999998,2168.6118,64000
109,hnsw,56,256,2024-10-25 11:17:53.181115,2024-10-25 11:43:24.996108,4073.9105239361697,4332.254,4272.06575,96256
110,hnsw,56,512,2024-10-25 11:57:01.561878,2024-10-25 12:22:39.265285,8179.206372340425,8615.343159999999,8503.36405,96256
111,hnsw,56,1024,2024-10-25 12:46:45.001910,2024-10-25 13:09:19.585767,14410.401170212766,14980.679979999999,14854.6518,96256
40,hnsw,64,8,2024-10-20 06:31:03.820454,2024-10-20 06:46:15.419988,1823.125308,1973.94425,1936.2113499999998,4000
41,hnsw,64,16,2024-10-20 06:49:21.100247,2024-10-20 07:04:21.336310,1800.403666,1954.70528,1904.2916,8000
42,hnsw,64,32,2024-10-20 07:07:21.782298,2024-10-20 07:22:33.125296,1822.6178679999998,1952.5959500000001,1919.4097499999998,16000
43,hnsw,64,64,2024-10-20 07:25:38.272645,2024-10-20 07:40:56.976876,1837.3404380000002,1985.8884600000001,1935.04565,32000
44,hnsw,64,128,2024-10-20 07:44:00.343005,2024-10-20 07:59:34.452226,1868.150922,2021.76846,1976.68585,64000
