,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Index,CPU Cores,Batch Size,start time,end time,Average Latency (ms),99th Percentile (ms),95th Percentile (ms),Number of Queries,Average CPU Utilization (%),Runtime (s),Average CPU Power (W),Average DRAM Power (W),Total CPU Energy (Joules),Total CPU Idle Energy (Joules),Total CPU Dynamic Energy (Joules),Total DRAM Energy (Joules),Total DRAM Idle Energy (Joules),Total DRAM Dynamic Energy (Joules),Total Energy (Joules),Total Idle Energy (Joules),Total Dynamic Energy (Joules),CPU Energy per Query (Joules),CPU Idle Energy per Query (Joules) Unscaled,CPU Dynamic Energy per Query (Joules),DRAM Energy per Query (Joules),DRAM Idle Energy per Query (Joules) Unscaled,DRAM Dynamic Energy per Query (Joules),Total Energy per Query (Joules),Total Idle Energy per Query (Joules) Unscaled,Total Dynamic Energy per Query (Joules),Throughput (queries/s),CPU-Seconds Per Query,Memory Footprint (GB),Memory Usage per Query (GB-second),CPU Idle Energy per Query (Joules),DRAM Idle Energy per Query (Joules),Total Idle Energy per Query (Joules),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GB-s),CPU Operational Carbon per Query (gCO2eq),Memory Operational Carbon per Query (gCO2eq),Total Operational Carbon per Query (gCO2eq),CPU Embodied Carbon per Query (gCO2eq),Memory Embodied Carbon per Query (gCO2eq),Total Embodied Carbon per Query (gCO2eq),Total Carbon Footprint per Query (gCO2eq),Grid CI (gCO2eq/kWh),pareto
122,122,122,122,ivf,32,32,2024-10-20 17:14:33.809454,2024-10-20 17:18:58.278748,528.893974,686.71935,603.3438,16000,3236.8627348484847,264.469294,275.0700805364573,24.272950189824307,72747.59,9388.602635319636,63358.98736468036,6419.450000000001,743.3746993967666,5676.075300603234,79167.04,10131.977334716405,69035.06266528359,4.155532598528348,0.5867876647074772,3.9599367102925225,0.3724195347564404,0.0464609187122979,0.3547547062877021,4.5279521332847885,0.6332485834197752,4.314691416580224,60.49851670114868,0.5289385879999999,73.0,1.206641153875,0.1955958882358257,0.0176648284687382,0.213260716704564,1.81891991163538e-05,1.2463145624577203e-05,4.732689903879507e-05,4.241444701392793e-06,5.156834374018786e-05,9.620969297455023e-06,1.5038544417351994e-05,2.4659513714807017e-05,7.622785745499488e-05,41,True
137,137,137,137,ivf,48,16,2024-10-20 09:53:04.943255,2024-10-20 09:56:15.499563,381.057814,458.0947999999999,423.9754499999999,8000,3770.4732264844974,190.556308,250.28811956201417,21.334796222017484,47693.98,6764.707646799935,40929.27235320006,4065.48,535.6188464648666,3529.8611535351333,51759.46,7300.326493264802,44459.13350673519,5.538953272075004,0.8455884558499919,5.116159044150008,0.4666884878064328,0.0669523558081083,0.4412326441918917,6.005641759881437,0.9125408116581002,5.557391688341899,41.98234151345963,1.143337848,73.0,1.7388263105,0.4227942279249959,0.0254558436145411,0.4482500715395371,1.81891991163538e-05,1.2463145624577203e-05,6.308252337640976e-05,5.31506333335104e-06,6.83975867097608e-05,2.0796399774535452e-05,2.1671245523607795e-05,4.246764529814325e-05,0.0001108652320079,41,True
138,138,138,138,ivf,48,32,2024-10-20 09:57:00.618165,2024-10-20 10:00:53.424291,465.5582020000001,581.67117,506.9802,16000,4183.922792598967,232.806126,301.31801600444135,26.639977678250613,70148.68,8264.567031672701,61884.11296832729,6201.95,654.3753390628999,5547.5746609371,76350.62999999999,8918.9423707356,67431.68762926439,4.126024780260228,0.5165354394795438,3.867757060520456,0.3622733511235399,0.0408984586914312,0.3467234163085687,4.488298131383768,0.557433898170975,4.214480476829024,68.72671383226401,0.6984183780000001,73.0,1.062177949875,0.2582677197397719,0.0155499348149712,0.2738176545547431,1.81891991163538e-05,1.2463145624577203e-05,4.699083777518593e-05,4.125890943351427e-06,5.111672871853736e-05,1.2703670943962854e-05,1.3238078468506989e-05,2.5941749412469843e-05,7.70584781310072e-05,41,True
154,154,154,154,ivf,64,32,2024-10-20 04:06:49.409412,2024-10-20 04:10:29.735613,440.605282,559.99325,503.44225,16000,5019.978021828103,220.326201,313.8856826201982,28.292822059778537,69157.24,7821.532398156452,61335.70760184356,6233.65,619.2965578741499,5614.35344212585,75390.89,8440.828956030602,66950.0610439694,4.159378908371741,0.4888457748847782,3.833481725115222,0.3656134471396406,0.0387060348671343,0.3508970901328656,4.524992355511381,0.5275518097519126,4.184378815248087,72.61959733967365,0.881304804,73.0,1.0052382920625,0.3258971832565188,0.014716357006775,0.3406135402632938,1.81891991163538e-05,1.2463145624577203e-05,4.737070423423371e-05,4.163930925757017e-06,5.153463515999072e-05,1.6030228562155158e-05,1.2528431221376208e-05,2.8558659783531364e-05,8.009329494352209e-05,41,True
169,169,169,169,ivf,80,16,2024-10-19 22:40:04.084424,2024-10-19 22:42:35.445831,302.67263800000006,381.01597999999984,343.45245,8000,5088.312991396426,151.361407,304.3310108765043,25.51423164294449,46063.97,5373.297153528485,40690.67284647151,3861.87,425.4491654857167,3436.420834514284,49925.84,5798.746319014202,44127.0936809858,5.64605255930149,0.6716621441910606,5.086334105808939,0.4497725190802081,0.0531811456857145,0.4295526043142854,6.095825078381698,0.7248432898767752,5.515886710123224,52.85363130906942,1.51361407,73.0,1.381172838875,0.5597184534925504,0.0202199147659227,0.5799383682584731,1.81891991163538e-05,1.2463145624577203e-05,6.430226525871141e-05,5.122409245080148e-06,6.942467450379156e-05,2.753142770454468e-05,1.721375822360983e-05,4.474518592815451e-05,0.0001141698604319,41,True
170,170,170,170,ivf,80,32,2024-10-19 22:43:13.608218,2024-10-19 22:46:36.566156,405.853774,545.2684099999996,455.7977,16000,5189.918035538006,202.957938,328.3264042621481,30.877530890168977,66636.45,7204.962824780102,59431.487175219896,6266.84,570.4775547626999,5696.362445237301,72903.29,7775.440379542802,65127.8496204572,4.08972642890854,0.4503101765487564,3.7144679484512433,0.3695789228461064,0.0356548471726687,0.3560226528273313,4.459305351754647,0.4859650237214251,4.070490601278575,78.83406856449241,1.01478969,73.0,0.925995592125,0.375258480457297,0.013556270018775,0.388814750476072,1.81891991163538e-05,1.2463145624577203e-05,4.657743988479171e-05,4.209093287969544e-06,5.0786533172761256e-05,1.8458211732632944e-05,1.1540817912370471e-05,2.9999029645003414e-05,8.078556281776466e-05,41,True
171,171,171,171,ivf,80,64,2024-10-19 22:47:45.480882,2024-10-19 22:53:47.139078,723.251032,789.80518,766.0035,32000,6685.961953991131,361.658196,328.93207264684804,33.43621168756812,118960.98,12838.787598724202,106122.1924012758,12092.48,1016.5548849533998,11075.9251150466,131053.46,13855.342483677605,117198.1175163224,3.650661939589978,0.4012121124601313,3.3163185125398686,0.3582008672998935,0.0317673401547937,0.3461226598452063,4.008862806889872,0.4329794526149251,3.662441172385075,88.48133501169154,0.90414549,73.0,0.8250327596249999,0.3343434270501094,0.0120782074546871,0.3464216345047965,1.81891991163538e-05,1.2463145624577203e-05,4.157698320088586e-05,4.07950987758212e-06,4.565649307846798e-05,1.6445682347763273e-05,1.0282503428253172e-05,2.672818577601645e-05,7.238467885448443e-05,41,True
179,179,179,179,ivf,88,64,2024-10-24 20:25:00.213621,2024-10-24 20:30:58.752341,717.0241139999999,783.29543,763.6356,32000,7029.894738607772,358.53872,329.0110200650016,33.639323529687395,117963.19,12728.04687661067,105235.14312338934,12061.0,1007.7866098213332,11053.213390178667,130024.19,13735.833486432002,116288.356513568,3.65320373209216,0.3977514648940834,3.2885982226059167,0.3573869455454526,0.0314933315569166,0.3454129184430833,4.010590677637612,0.429244796451,3.634011141049,89.25116930188182,0.98598148,73.0,0.817916455,0.3646055094862431,0.0119740271023693,0.3765795365886124,1.81891991163538e-05,1.2463145624577203e-05,4.160593139327182e-05,4.070240213156543e-06,4.567617160642836e-05,1.793421346475721e-05,1.0193811887402946e-05,2.812802535216016e-05,7.380419695858852e-05,41,True
186,186,186,186,ivf,96,32,2024-10-28 03:42:11.517480,2024-10-28 03:45:32.953012,402.813082,472.43177,439.57515,16000,6087.328960716061,201.435532,329.03003428412023,31.184220269540138,66278.34,7150.917741634735,59127.42225836526,6281.610000000001,566.1983506044666,5715.411649395534,72559.95,7717.116092239201,64842.8339077608,4.142396249999999,0.4469323588521709,3.6954638911478286,0.3706678112884338,0.0353873969127791,0.3572132280872209,4.513064061288433,0.48231975576495,4.0526771192350495,79.42987933231164,1.208613192,73.0,0.91904961475,0.4469323588521709,0.0134545832012128,0.4603869420533838,1.81891991163538e-05,1.2463145624577203e-05,4.717729062499999e-05,4.221494517451607e-06,5.13987851424516e-05,2.1983706003939944e-05,1.1454249184840828e-05,3.343795518878077e-05,8.483674033123237e-05,41,True
188,188,188,188,ivf,96,128,2024-10-28 03:54:49.021358,2024-10-28 04:06:00.016381,1341.925662,1427.7986999999998,1401.7729,64000,8261.85782673861,670.995023,329.0394897608652,34.2937118924055,220783.86,23820.17793424502,196963.68206575493,23010.91,1886.043993898783,21124.866006101216,243794.77,25706.221928143805,218088.54807185617,3.4497478125,0.3721902802225784,3.0775575322774213,0.3412805570252314,0.0294694374046684,0.3300760313453315,3.791028369525231,0.4016597176272469,3.4076335636227526,95.38073727262208,1.0064925345,73.0,0.7653536981093749,0.3721902802225784,0.0112045256798999,0.3833948059024784,1.81891991163538e-05,1.2463145624577203e-05,3.928879453125e-05,3.886806343898469e-06,4.317560087514847e-05,1.8307293119144096e-05,9.538714593845838e-06,2.784600771298993e-05,7.10216085881384e-05,41,True
189,189,189,189,ivf,96,256,2024-10-28 04:10:14.898017,2024-10-28 04:26:15.798674,2555.523340425532,2673.18675,2636.8435,96256,8688.24018608074,960.900657,328.97362250424607,34.795449203236416,316110.97000000003,34111.765128357656,281999.2048716424,33434.97,2700.91558170655,30734.05441829345,349545.94000000006,36812.6807100642,312733.2592899359,3.2840650972406915,0.3543858577995933,2.929679239441098,0.3299634831084621,0.0280597114123436,0.3192949469985606,3.6140285803491534,0.3824455692119369,3.24897418643966,100.17268621765548,0.9583450701462766,73.0,0.7287415637570646,0.3543858577995933,0.0106685361099014,0.3650543939094948,1.81891991163538e-05,1.2463145624577203e-05,3.740185249635232e-05,3.75791744651304e-06,4.115976994286536e-05,1.743152930306667e-05,9.082412231786408e-06,2.651394153485308e-05,6.767371147771843e-05,41,True
190,190,190,190,ivf,96,512,2024-10-28 04:34:37.478063,2024-10-28 04:50:19.661371,5011.549861702128,5174.01096,5126.02935,96256,8974.465324703344,942.183308,328.8903840355448,34.74950120852704,309875.03,33447.30329428327,276427.7267057167,32740.4,2648.304545181533,30092.095454818467,342615.43,36095.60783946481,306519.82216053514,3.219280148769946,0.3474827885459948,2.8717973602239515,0.3230863833122198,0.0275131373128068,0.3126256592297464,3.542366532082166,0.3749959258588016,3.184423019453698,102.16270993414795,0.9396775013297872,73.0,0.714546433302859,0.3474827885459948,0.0104607240824734,0.3579435126284682,1.81891991163538e-05,1.2463145624577203e-05,3.6664023916546606e-05,3.679594921055836e-06,4.034361883760244e-05,1.709198117684531e-05,8.905496253775774e-06,2.5997477430621085e-05,6.634109626822353e-05,41,True
191,191,191,191,ivf,96,1024,2024-10-28 05:06:48.314044,2024-10-28 05:22:16.666646,9876.02810638298,10057.56029,10039.38045,96256,9162.437047105435,928.352602,328.76603064661845,34.728539490860385,305210.8,32956.316227936244,272254.48377206374,32240.33,2609.4289662449664,29630.90103375503,337451.13,35565.74519418121,301885.3848058188,3.170823636968085,0.3423819421951488,2.8284416947729363,0.3181414942649055,0.0271092603707297,0.307834327561451,3.4889651312329906,0.3694912025658786,3.136276022334388,103.68474197479549,0.9258835791223404,73.0,0.7040573049576131,0.3423819421951488,0.0103071667034545,0.3526891088986033,1.81891991163538e-05,1.2463145624577203e-05,3.611215808769208e-05,3.6232781291280895e-06,3.973543621682016e-05,1.6841080779218567e-05,8.774768719734094e-06,2.561584949895266e-05,6.535128571577282e-05,41,True
