timestamp,cpu allocated,mem allocated (gb),avg cpu utilization (cores)
0,324803.0,745184.5,27447.92174740964
300,324729.0,745015.0,27208.1387989099
600,324634.0,744807.75,27058.45954675022
900,324473.0,744437.0,26576.53076388028
1200,324421.0,744297.0,26552.33773205972
1500,324275.0,744022.5,27763.311815519788
1800,323764.0,743003.25,27323.866511289616
2100,323758.0,742948.75,26707.16308648981
2400,323670.0,742461.75,26660.49270391968
2700,323629.0,742390.0,26492.812640490298
3000,323591.0,742366.5,26444.86592221956
3300,323581.0,742305.0,26875.133417399848
3600,323565.0,742278.0,26582.303400849712
3900,323677.0,742653.5,26356.14823973961
4200,323269.0,741773.5,26249.70462620016
4500,323206.0,741746.25,26141.6289411602
4800,323158.0,741578.25,26206.99695533036
5100,323203.0,741660.0,26907.69631901005
5400,323624.0,742566.75,26980.732224840143
5700,323792.0,742771.75,26692.8458552801
6000,323765.0,742892.5,26394.08108620009
6300,323819.0,742948.0,25767.767407820324
6600,323840.0,742984.75,26081.095608459967
6900,323751.0,742783.0,26226.55903657001
7200,323744.0,742729.75,25855.84789166981
7500,323622.0,742599.25,26008.382372280208
7800,323465.0,742329.5,25992.383098899976
8100,323149.0,741022.5,25521.73082818973
8400,323194.0,740768.25,25425.322551510195
8700,323352.0,741881.75,26056.084384709942
9000,323790.0,742935.25,26205.33273351956
9300,323997.0,743212.5,25852.88310394969
9600,324107.0,743405.0,25863.110539380432
9900,323910.0,743100.25,25453.61978662046
10200,323920.0,743030.75,25338.69981238012
10500,323893.0,742982.5,25763.458643459573
10800,323968.0,743116.75,25400.08567890999
11100,323816.0,742850.75,25409.66064201965
11400,323713.0,742839.5,25540.38585658997
11700,323395.0,742163.0,25455.52976392981
12000,323267.0,742107.0,25366.94157449992
12300,323197.0,742147.5,25858.231984830025
12600,323039.0,741739.0,25466.62661521048
12900,323032.0,741432.75,25531.31008375002
13200,322923.0,741160.0,25575.68814046997
13500,322758.0,740883.75,25254.278701060302
13800,322805.0,740971.0,25306.4308926002
14100,322841.0,741020.5,25873.372167850204
14400,322642.0,740708.25,25585.38694443982
14700,322630.0,740648.25,25603.785184789856
15000,322349.0,740159.5,25889.731149129704
15300,322303.0,740077.0,26049.24854297984
15600,322218.0,739927.25,25901.688566740027
15900,322055.0,739639.0,26534.66122102969
16200,322204.0,739984.75,25906.57295062005
16500,322349.0,740448.5,25634.119948430223
16800,322520.0,740651.75,25732.807682339822
17100,322613.0,740808.5,25643.37806369996
17400,322658.0,740845.25,25734.84983469001
17700,322409.0,740406.5,25436.93847271072
18000,322278.0,740184.25,24609.858920629504
18300,322568.0,740650.75,24379.80577455005
18600,322538.0,740898.25,24712.204628590105
18900,322676.0,742402.75,24641.2112352301
19200,322620.0,742385.75,24828.895394409883
19500,323418.0,744914.25,25388.64561694999
19800,323479.0,744972.0,24902.728368899832
20100,323083.0,743896.0,24301.233960950325
20400,323241.0,744131.5,24368.804003639823
20700,323275.0,744159.0,24122.08913153008
21000,323273.0,743949.5,24804.398457979936
21300,323309.0,744013.5,25405.36701483989
