,workload,label,rounds,cpus,memory,times,geomean,start,end,start_seconds,end_seconds,duration
0,quickHull,convexHull,3,48,96,"[51.052, 50.88]",50.965927441772315,2024-11-14 01:20:45.238300,2024-11-14 01:22:27.170300,15.5934,117.5254,101.932
1,octTree,nearestNeighbors,18,48,96,"[9.304, 10.517, 9.501, 9.193, 9.422, 9.449, 9.567, 10.243, 9.317, 9.214]",9.56366676650274,2024-11-14 01:20:29.644900,2024-11-14 01:22:05.371900,0.0,95.727,95.727
