,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied,CF Improvement over Perf-Optimal (%),CF Improvement over Energy-Optimal (%),CF Improvement over Embodied-Optimal (%),CF Improvement over CF-Optimal (%)
6,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252,1.81891991163538e-05,1.2463145624577203e-05,3.04083268877919,0.3748502098774488,3.4156828986566388,0.2872893345459686,0.0492122933771044,0.3365016279230731,3.752184526579712,spark,30,False,False,False,True,-68.42655198563095,-68.42655198563095,-0.0,-84.49579167819473
66,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,1.3135772100979826,0.1459057529729106,1.4594829630708932,0.4277289412480974,0.1465388346270928,0.5742677758751903,2.0337507389460834,spark,30,True,False,False,False,8.70981367455384,8.70981367455384,45.79822168820838,-0.0
107,64,64,4.7052,109.0459,71.0658,266.41880000000003,36.34863333333333,35.5329,44.40313333333334,3,1730014241.6311529,1730014554.489039,446.5305,144660.73134853036,17555.93865273163,144660.73134853036,17555.93865273163,144660.73134853036,17555.93865273163,323.96607028753994,39.31632587859425,28577.952,28577.952,32.19,1.81891991163538e-05,1.2463145624577203e-05,1.2055060945710865,0.1462994887727636,1.35180558334385,0.5198100592656013,0.3561711774281773,0.8759812366937787,2.227786820037629,spark,30,False,True,True,False,-0.0,-0.0,40.626938673819474,-9.540799537316833
115,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252,1.81891991163538e-05,1.2463145624577203e-05,9.12249806633757,1.1245506296323466,10.247048695969918,0.2872893345459686,0.0492122933771044,0.3365016279230731,10.583550323892991,spark,90,False,False,False,True,-375.07015611638406,-375.07015611638406,-182.06369513336227,-420.39564737306637
175,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,3.940731630293948,0.437717258918732,4.37844888921268,0.4277289412480974,0.1465388346270928,0.5742677758751903,4.952716665087871,spark,90,True,False,False,False,-122.31555643211031,-122.31555643211031,-31.995551658076334,-143.52623801156844
216,64,64,4.7052,109.0459,71.0658,266.41880000000003,36.34863333333333,35.5329,44.40313333333334,3,1730014241.6311529,1730014554.489039,446.5305,144660.73134853036,17555.93865273163,144660.73134853036,17555.93865273163,144660.73134853036,17555.93865273163,323.96607028753994,39.31632587859425,28577.952,28577.952,32.19,1.81891991163538e-05,1.2463145624577203e-05,3.6165182837132592,0.4388984663182907,4.05541675003155,0.5198100592656013,0.3561711774281773,0.8759812366937787,4.931397986725329,spark,90,False,True,True,False,-121.35861216029788,-121.35861216029788,-31.427384548715775,-142.47799360509853
224,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252,1.81891991163538e-05,1.2463145624577203e-05,15.204163443895949,1.874251049387244,17.078414493283194,0.2872893345459686,0.0492122933771044,0.3365016279230731,17.414916121206268,spark,150,False,False,False,True,-681.713760247137,-681.713760247137,-364.1273902667245,-756.2955030679378
284,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49,1.81891991163538e-05,1.2463145624577203e-05,6.567886050489913,0.7295287648645533,7.297414815354466,0.4277289412480974,0.1465388346270928,0.5742677758751903,7.871682591229657,spark,150,True,False,False,False,-253.3409265387744,-253.3409265387744,-109.78932500436103,-287.0524760231368
325,64,64,4.7052,109.0459,71.0658,266.41880000000003,36.34863333333333,35.5329,44.40313333333334,3,1730014241.6311529,1730014554.489039,446.5305,144660.73134853036,17555.93865273163,144660.73134853036,17555.93865273163,144660.73134853036,17555.93865273163,323.96607028753994,39.31632587859425,28577.952,28577.952,32.19,1.81891991163538e-05,1.2463145624577203e-05,6.027530472855432,0.731497443863818,6.7590279167192495,0.5198100592656013,0.3561711774281773,0.8759812366937787,7.635009153413028,spark,150,False,True,True,False,-242.71722432059576,-242.71722432059576,-103.48170777125102,-275.4151876728803
333,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252,1.81891991163538e-05,1.2463145624577203e-05,21.285828821454327,2.623951469142142,23.90978029059647,0.2872893345459686,0.0492122933771044,0.3365016279230731,24.246281918519543,spark,210,False,False,False,True,-988.3573643778899,-988.3573643778899,-546.1910854000866,-1092.1953587628093
