,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB)
37,6,92,4.8821,132.2212,84.7789,316.9239,44.07373333333334,42.38945,52.82065,3,1729998721.1011162,1729999095.082556,533.924,166733.64395957216,18586.922315080214,166733.64395957216,18586.922315080214,166733.64395957216,18586.922315080214,312.27973262032083,34.81192513368984,49121.008,3203.544,7.732
38,8,8,4.7542,510.14420000000007,335.0025,1203.4796,170.0480666666667,167.50125,200.5799333333333,3,1730107417.483905,1730108868.516966,2048.6263,392034.1285952627,46960.15205043932,392034.1285952627,46960.15205043932,392034.1285952627,46960.15205043932,191.36439310344824,22.92275172413793,16389.0104,16389.0104,6.029
39,8,16,4.7641,268.3062,175.6898,612.9968,89.4354,87.8449,102.16613333333332,3,1730077069.1759405,1730077820.1661985,1056.9928,276552.806596538,28451.614249853534,276552.806596538,28451.614249853534,276552.806596538,28451.614249853534,261.6411451398136,26.917509986684426,16911.8848,8455.9424,9.153
40,8,24,4.4221,194.6011,128.0705,448.1595,64.86703333333334,64.03525,74.69324999999999,3,1730058883.0060005,1730059427.5665207,770.8311,246684.99606247057,23064.371747768382,246684.99606247057,23064.371747768382,246684.99606247057,23064.371747768382,320.0247058823529,29.92143382352941,18499.9464,6166.6488,9.37
41,8,32,4.5013,166.4974,107.4509,381.8164,55.49913333333333,53.72545,63.636066666666665,3,1730044384.70272,1730044848.9094782,655.7647,211791.63264886412,20810.085041523707,211791.63264886412,20810.085041523707,211791.63264886412,20810.085041523707,322.9689439655172,31.73407327586207,20984.4704,5246.1176,9.105
42,8,48,4.5434,132.2271,84.193,302.5472,44.075700000000005,42.0965,50.42453333333333,3,1730031524.6774726,1730031892.429678,518.9673,167182.18496835328,18006.092261274458,167182.18496835328,18006.092261274458,167182.18496835328,18006.092261274458,322.1439673913044,34.69600543478261,24910.4304,4151.7384,8.777
43,8,64,4.7584,127.5771,82.1457,298.04,42.5257,41.07285,49.673333333333325,3,1730019721.8958402,1730020080.5364351,507.7628,163770.82083181007,17900.43998144134,163770.82083181007,17900.43998144134,163770.82083181007,17900.43998144134,322.53410614525137,35.25354748603352,32496.8192,4062.1024,9.018
44,8,80,4.7698,127.8345,83.391,299.7761,42.6115,41.6955,49.96268333333333,3,1730008967.768907,1730009327.1061249,511.0016,164057.80384944845,18054.127782863507,164057.80384944845,18054.127782863507,164057.80384944845,18054.127782863507,321.05144846796657,35.3308635097493,40880.128,4088.0128,9.3
45,8,92,4.4582,130.8117,82.5917,302.9383,43.6039,41.29585,50.48971666666667,3,1729997964.9359276,1729998329.5896802,516.3417000000001,164814.92304490384,18327.09471473077,164814.92304490384,18327.09471473077,164814.92304490384,18327.09471473077,319.1973901098901,35.49412087912088,47503.436400000006,4130.7336000000005,9.231
46,12,8,4.4187,467.2431,307.8217,1079.0096,155.7477,153.91084999999998,179.83493333333334,3,1730104663.6929789,1730105972.639321,1854.0744,355371.26176301297,43246.05167314286,355371.26176301297,43246.05167314286,355371.26176301297,43246.05167314286,191.67044308632543,23.324873949579832,14832.5952,22248.8928,7.174
47,12,16,4.4548,240.9112,158.4026,574.4277999999999,80.30373333333334,79.2013,95.73796666666664,3,1730075633.3934717,1730076325.2748594,973.7416,259926.25652930827,26569.56120963241,259926.25652930827,26569.56120963241,259926.25652930827,26569.56120963241,266.93555716353114,27.286049204052095,15579.8656,11684.8992,9.221
48,12,24,4.7343,190.9857,123.4648,440.0149,63.6619,61.7324,73.33581666666667,3,1730057788.0928493,1730058321.09963,754.4654,243203.1390262927,22762.26358321952,243203.1390262927,22762.26358321952,243203.1390262927,22762.26358321952,322.3516135084428,30.17005628517824,18107.1696,9053.5848,10.91
49,12,32,4.7125,162.6677,104.7963,375.7166,54.222566666666665,52.39815,62.619433333333326,3,1730043455.4740517,1730043907.8412356,643.1805999999999,207776.4544050905,20680.556406052976,207776.4544050905,20680.556406052976,207776.4544050905,20680.556406052976,323.0452759381899,32.1535761589404,20581.7792,7718.167199999999,10.89
50,12,48,4.7946,129.3924,83.8116,299.76460000000003,43.1308,41.9058,49.96076666666667,3,1730030782.8385744,1730031144.852699,512.9686,165519.88991087294,18069.77238790608,165519.88991087294,18069.77238790608,165519.88991087294,18069.77238790608,322.67060773480665,35.22588397790055,24622.4928,6155.6232,10.7
51,12,64,4.8423,123.1104,79.5315,289.132,41.0368,39.76575,48.18866666666667,3,1730019005.0230489,1730019350.1401489,491.7739,158922.65132611594,17743.330600843477,158922.65132611594,17743.330600843477,158922.65132611594,17743.330600843477,323.1620289855072,36.080260869565215,31473.5296,5901.2868,10.72
52,12,80,4.7498,124.5446,80.7152,288.6843,41.51486666666666,40.3576,48.11405,3,1730008243.6382473,1730008592.118338,493.9441,159442.38768978446,17734.46677106897,159442.38768978446,17734.46677106897,159442.38768978446,17734.46677106897,322.7943965517241,35.90379310344828,39515.528,5927.3292,11.52
53,12,92,4.796,122.4429,78.8874,282.1171,40.8143,39.4437,47.01951666666667,3,1729997247.5626318,1729997589.307075,483.4474,155502.5242448889,17630.13926333333,155502.5242448889,17630.13926333333,155502.5242448889,17630.13926333333,321.6534502923976,36.46754385964912,44477.1608,5801.3688,11.77
54,16,8,4.3119,441.309,287.9411,1017.4894,147.10299999999998,143.97055,169.58156666666667,3,1730102098.568985,1730103337.4171405,1746.7395,337928.79510455567,40952.43456179321,337928.79510455567,40952.43456179321,337928.79510455567,40952.43456179321,193.46261712439417,23.44507269789984,13973.916,27947.832,9.094
55,16,16,4.6199,235.514,158.0039,557.0523000000001,78.50466666666667,79.00195,92.84205,3,1730074270.9992857,1730074940.7048066,950.5702,256475.9703707612,25995.62632500298,256475.9703707612,25995.62632500298,256475.9703707612,25995.62632500298,269.81276119402986,27.347402985074623,15209.1232,15209.1232,9.349
56,16,24,4.7338,189.1604,120.7582,430.7025,63.05346666666667,60.3791,71.78375,3,1730056713.98741,1730057240.4525542,740.6211000000001,239059.10076315404,22372.544202359317,239059.10076315404,22372.544202359317,239059.10076315404,22372.544202359317,322.7819201520913,30.207813688212923,17774.9064,11849.9376,12.5
57,16,32,4.9176,159.6664,102.4877,369.7517,53.22213333333334,51.24385,61.625283333333336,3,1730042540.9691572,1730042987.044536,631.9058,205010.0912963632,20476.12819296861,205010.0912963632,20476.12819296861,205010.0912963632,20476.12819296861,324.4314125560538,32.403766816143495,20220.9856,10110.4928,13.25
58,16,48,4.7008,128.1915,84.1792,296.2472,42.7305,42.0896,49.37453333333334,3,1730030047.243708,1730030408.1811447,508.6179,164075.3583220471,17981.079857127424,164075.3583220471,17981.079857127424,164075.3583220471,17981.079857127424,322.5906094182825,35.352825484764544,24413.6592,8137.8864,12.83
59,16,64,4.7716,122.9552,80.5841,290.4762,40.98506666666667,40.29205,48.4127,3,1730018293.2071116,1730018639.5270388,494.0155,159811.17294697976,17806.36036036127,159811.17294697976,17806.36036036127,159811.17294697976,17806.36036036127,323.49424855491327,36.04413294797688,31616.992,7904.248,12.51
60,16,80,4.9292,120.7738,77.7377,280.3238,40.25793333333333,38.86885,46.72063333333333,3,1730007542.5217297,1730007881.1315808,478.8353,154155.15981091125,17582.13804648225,154155.15981091125,17582.13804648225,154155.15981091125,17582.13804648225,321.93775147928994,36.71855029585799,38306.824,7661.3648,13.87
61,16,92,4.7752,118.4151,77.4789,274.9587,39.4717,38.73945,45.82645,3,1729996559.9073155,1729996891.7411432,470.8527,152188.4140369699,17513.536364222895,152188.4140369699,17513.536364222895,152188.4140369699,17513.536364222895,323.21873493975903,37.195361445783135,43318.4484,7533.6432,12.81
62,24,8,4.6082,430.8801,280.1186,992.7698,143.6267,140.0593,165.46163333333334,3,1730099652.9522722,1730100860.6233048,1703.7685,328402.7605712997,40211.84203303808,328402.7605712997,40211.84203303808,328402.7605712997,40211.84203303808,192.75081125827816,23.601705298013247,13630.148,40890.444,11.65
63,24,16,4.5679,235.7585,155.8904,558.1453,78.58616666666666,77.9452,93.02421666666667,3,1730072915.573587,1730073585.6892245,949.7942,256076.608476009,26065.032118205967,256076.608476009,26065.032118205967,256076.608476009,26065.032118205967,269.6127313432836,27.442820895522384,15196.7072,22795.0608,11.96
64,24,24,4.4597,168.0191,110.373,394.8684,56.00636666666667,55.1865,65.8114,3,1730055722.8337822,1730056198.27727,673.2605000000001,218143.88424379204,20640.526211134456,218143.88424379204,20640.526211134456,218143.88424379204,20640.526211134456,324.01111344537816,30.657563025210084,16158.252000000002,16158.252000000002,14.01
65,24,32,4.5721,149.276,97.2055,350.1256,49.75866666666667,48.60275,58.35426666666666,3,1730041658.959178,1730042083.882226,596.6071,193945.66925949763,19496.0928506816,193945.66925949763,19496.0928506816,193945.66925949763,19496.0928506816,325.0810613207547,32.67827830188679,19091.4272,14318.5704,14.4
66,24,48,4.482,122.8249,78.3373,288.745,40.941633333333336,39.16865,48.12416666666667,3,1730029322.253067,1730029668.7080824,489.9072,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,157629.2652117579,17508.69035674928,321.7533141210374,35.73878962536023,23515.5456,11757.7728,17.49
67,24,64,4.6352,113.2813,75.0272,266.70739999999995,37.76043333333333,37.5136,44.45123333333333,3,1730017607.704836,1730017927.3320544,455.01589999999993,147488.967579975,16970.088156190624,147488.967579975,16970.088156190624,147488.967579975,16970.088156190624,324.14025000000004,37.29559375,29121.0176,10920.3816,15.65
68,24,80,4.7008,115.2519,74.52449999999999,270.0805,38.4173,37.26225,45.01341666666666,3,1730006867.7885027,1730007190.508353,459.8569,148516.7369442941,17250.656024572756,148516.7369442941,17250.656024572756,148516.7369442941,17250.656024572756,322.96294117647057,37.5130959752322,36788.552,11036.5656,16.52
69,24,92,4.5626,116.7349,74.7147,268.6257,38.91163333333333,37.35735,44.77095,3,1729995885.657753,1729996210.698511,460.0753,148478.88413897538,17249.270553067694,148478.88413897538,17249.270553067694,148478.88413897538,17249.270553067694,322.72735384615385,37.49227692307692,42326.9276,11041.8072,16.64
70,32,8,4.4573,451.8428,287.3824,1044.2537,150.61426666666668,143.69119999999998,174.04228333333333,3,1730097183.4530506,1730098443.292952,1783.4789,346843.4320731611,42660.956833944445,346843.4320731611,42660.956833944445,346843.4320731611,42660.956833944445,194.47576984126985,23.920079365079363,14267.8312,57071.3248,14.55
71,32,16,4.6508,226.8048,148.951,537.1098,75.6016,74.4755,89.5183,3,1730071585.6560173,1730072228.0532603,912.8656,249778.55521455675,26365.219574270603,249778.55521455675,26365.219574270603,249778.55521455675,26365.219574270603,273.62029548989113,28.88181959564541,14605.8496,29211.6992,15.63
72,32,24,4.5264,165.0405,109.5337,398.5185,55.0135,54.766850000000005,66.41975000000001,3,1730054760.4912071,1730055233.6703565,673.0927,218417.89809609723,21824.027562080337,218417.89809609723,21824.027562080337,218417.89809609723,21824.027562080337,324.49898520084565,32.42350951374207,16154.2248,21538.9664,15.52
73,32,32,4.7585,152.5492,96.443,351.6269,50.84973333333334,48.221500000000006,58.60448333333333,3,1730040812.715582,1730041236.2015522,600.6191,194920.1802369456,20796.613825413715,194920.1802369456,20796.613825413715,194920.1802369456,20796.613825413715,324.5321040189125,34.625295508274235,19219.8112,19219.8112,19.32
74,32,48,4.4926,125.3467,80.1916,296.4214,41.78223333333333,40.0958,49.40356666666667,3,1730028617.2530138,1730028967.843999,501.9597,162672.56109408857,18897.090383725717,162672.56109408857,18897.090383725717,162672.56109408857,18897.090383725717,324.07494285714284,37.64662857142857,24094.0656,16062.7104,18.52
75,32,64,4.8942,120.0546,76.58160000000001,282.6078,40.0182,38.2908,47.1013,3,1730016933.6085212,1730017270.16511,479.244,155272.1748307143,18494.91027928572,155272.1748307143,18494.91027928572,155272.1748307143,18494.91027928572,323.9939880952381,38.59184523809524,30671.616,15335.808,19.87
76,32,80,4.586,116.9518,74.83080000000001,278.0324,38.98393333333333,37.415400000000005,46.33873333333333,3,1730006198.8362837,1730006527.5699737,469.815,151854.17550364742,18483.193264285717,151854.17550364742,18483.193264285717,151854.17550364742,18483.193264285717,323.2212158054712,39.34142857142857,37585.2,15034.08,19.25
77,32,92,4.9471,114.7818,73.1868,270.7383,38.2606,36.5934,45.12305,3,1729995223.1093383,1729995545.5747058,458.7069,148702.40621530433,18231.832826068327,148702.40621530433,18231.832826068327,148702.40621530433,18231.832826068327,324.1773913043478,39.746149068322985,42201.0348,14678.6208,19.31
78,40,8,4.7602,447.37,288.8917,1037.149,149.1233333333333,144.44585,172.85816666666668,3,1730094651.7481716,1730095906.7563615,1773.4107,345305.0824324234,42729.68028306938,345305.0824324234,42729.68028306938,345305.0824324234,42729.68028306938,194.7124162679426,24.0946331738437,14187.2856,70936.428,17.73
79,40,16,4.5001,228.0911,150.4116,544.2144999999999,76.03036666666667,75.2058,90.70241666666664,3,1730070280.7561798,1730070929.4726868,922.7172,254436.0547399507,26513.68871482281,254436.0547399507,26513.68871482281,254436.0547399507,26513.68871482281,275.74651771956854,28.734360554699546,14763.4752,36908.688,18.31
80,40,24,4.5458,167.2801,109.2973,405.1621,55.76003333333333,54.64865,67.52701666666667,3,1730053793.2684507,1730054272.0665476,681.7395,221437.0478179393,22026.033406380757,221437.0478179393,22026.033406380757,221437.0478179393,22026.033406380757,324.811820083682,32.30857740585774,16361.748,27269.58,18.01
81,40,32,4.5666,141.2857,92.6126,339.1465,47.09523333333333,46.3063,56.52441666666667,3,1730039981.107854,1730040384.2747357,573.0448,185863.68242572705,19950.391188049627,185863.68242572705,19950.391188049627,185863.68242572705,19950.391188049627,324.3440694789082,34.81471464019851,18337.4336,22921.792,21.04
82,40,48,4.4395,125.6242,81.51689999999999,290.8426,41.87473333333333,40.75845,48.47376666666667,3,1730027896.4410534,1730028247.9845233,497.9837,161256.7554198946,18775.262371282053,161256.7554198946,18775.262371282053,161256.7554198946,18775.262371282053,323.8193447293447,37.7025641025641,23903.2176,19919.348,22.57
83,40,64,4.8849,117.9471,78.5879,277.1898,39.3157,39.29395,46.1983,3,1730016242.9304612,1730016576.4301524,473.7248,153203.6814937177,18430.95330354354,153203.6814937177,18430.95330354354,153203.6814937177,18430.95330354354,323.4022822822823,38.90645645645645,30318.3872,18948.992,23.58
84,40,80,4.4554,111.3305,72.01169999999999,268.1405,37.110166666666665,36.005849999999995,44.69008333333333,3,1730005534.2742343,1730005849.9554462,451.4827,146059.11112729114,17934.73592211076,146059.11112729114,17934.73592211076,146059.11112729114,17934.73592211076,323.5098734177215,39.72408227848101,36118.616,18059.308,24.6
85,40,92,4.8718,114.3521,72.94579999999999,273.18780000000004,38.11736666666667,36.4729,45.53130000000001,3,1729994558.7712576,1729994880.7407286,460.48570000000007,149081.2586199286,18342.2751940528,149081.2586199286,18342.2751940528,149081.2586199286,18342.2751940528,323.7478571428572,39.832453416149065,42364.684400000006,18419.428000000004,23.09
86,48,8,4.296,436.4691,282.9701,1021.1483,145.4897,141.48505,170.1913833333333,3,1730092157.5804565,1730093388.4887688,1740.5875,341441.3218148863,42003.79816358652,341441.3218148863,42003.79816358652,341441.3218148863,42003.79816358652,196.16441104792847,24.13196588139724,13924.7,83548.20000000001,20.31
87,48,16,4.4097,227.1744,149.8972,539.9649000000001,75.7248,74.9486,89.99415,3,1730068965.0852432,1730069611.6490357,917.0365,251926.8193276316,26327.237787089784,251926.8193276316,26327.237787089784,251926.8193276316,26327.237787089784,274.7184210526316,28.70904024767802,14672.584,44017.752,20.93
