,Unnamed: 0,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
0,0,1,8,4.4231,547.4798000000001,359.0668,1282.1653,182.4932666666667,179.5334,213.69421666666668,3,1730121492.2440836,1730123037.8310432,2188.7119,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,179.34036893203884,22.245644012944982,17509.6952,2188.7119,2.104,1.8189199116353798e-05,1.2463145624577203e-05,87.22764436265415,10.81984572762143,98.04749009027557,0.3184873324594643,0.027278235139945053,0.34576556759940935,98.39325565787499,spark,800
1,1,1,16,4.5321,326.8419,218.3177,805.2934,108.9473,109.15885,134.21556666666666,3,1730085079.872407,1730086022.864401,1350.453,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,225.69481442205725,24.80099681866384,21607.248,1350.453,1.922,1.8189199116353798e-05,1.2463145624577203e-05,67.731164271269,7.4427956792788965,75.1739599505479,0.39301853622843735,0.016830892398147158,0.4098494286265845,75.58380937917448,spark,800
2,2,1,24,4.4646,268.20680000000004,177.6353,676.9711,89.40226666666668,88.81765,112.82851666666666,3,1730064914.2091317,1730065694.8552144,1122.8132,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,241.701728553137,25.802215108834822,26947.5168,1122.8132,2.243,1.8189199116353798e-05,1.2463145624577203e-05,60.307975840506494,6.4380150474309294,66.74599088793742,0.49015374876648915,0.01399378442079753,0.5041475331872867,67.25013842112472,spark,800
3,3,1,32,4.6789,256.2636,169.61739999999998,649.1659,85.4212,84.80869999999999,108.19431666666668,3,1730049691.379261,1730050438.2000673,1075.0468999999998,254777.07742244707,28169.03512732932,254777.07742244707,28169.03512732932,254777.07742244707,28169.03512732932,236.99159303882195,26.202610441767067,34401.500799999994,1075.0468999999998,2.281,1.8189199116353798e-05,1.2463145624577203e-05,56.617128316099354,6.25978558385096,62.87691389995032,0.6257357479526043,0.013398466067950284,0.6391342140205546,63.516048113970875,spark,800
4,4,1,48,4.6405,270.165,180.2106,714.3906,90.055,90.1053,119.0651,3,1730036379.051731,1730037186.051193,1164.7662,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,202.10964064436183,25.62846344485749,55908.7776,1164.7662,2.234,1.8189199116353798e-05,1.2463145624577203e-05,52.31343958148865,6.63359288411235,58.947032465601,1.016935888118341,0.014516650769185416,1.0314525388875264,59.978485004488526,spark,800
5,5,1,64,4.9673,295.0775,198.5035,872.429,98.35916666666668,99.25175,145.40483333333333,3,1730024584.4778893,1730025502.0058415,1366.01,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,188.0418211559433,24.780076335877865,87424.64,1366.01,2.613,1.8189199116353798e-05,1.2463145624577203e-05,57.081557359384476,7.522184905682783,64.60374226506725,1.590184184635549,0.017024781554628707,1.6072089661901776,66.21095123125743,spark,800
6,6,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252,1.8189199116353798e-05,1.2463145624577203e-05,81.0888717007784,9.996005596731969,91.08487729751036,0.28728933454596867,0.04921229337710441,0.3365016279230731,91.42137892543343,spark,800
7,7,2,16,4.5888,293.348,192.2397,690.7388,97.78266666666669,96.11985,115.12313333333331,3,1730083277.4686651,1730084106.3832283,1176.3265,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,241.6174547647768,25.913570566948128,18821.224,2352.653,3.33,1.8189199116353798e-05,1.2463145624577203e-05,63.160225533857385,6.773959948338024,69.9341854821954,0.3423429909494969,0.02932145694309843,0.37166444789259534,70.305849930088,spark,800
8,8,2,24,4.7064,220.0799,144.0946,523.461,73.35996666666666,72.0473,87.2435,3,1730063479.9237907,1730064106.4263327,887.6355,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,282.09816586921846,27.94542264752791,21303.252,1775.271,3.331,1.8189199116353798e-05,1.2463145624577203e-05,55.64452144675704,5.512299823211058,61.1568212699681,0.3874890924538623,0.022125460996088794,0.4096145534499511,61.56643582341805,spark,800
9,9,2,32,4.768,198.8197,130.8973,479.4583,66.27323333333334,65.44865,79.90971666666667,3,1730048350.104839,1730048919.7689073,809.1753,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,284.1181546572935,28.915026362038667,25893.6096,1618.3506,3.311,1.8189199116353798e-05,1.2463145624577203e-05,51.0891984511693,5.199405584669011,56.28860403583831,0.4709840208555302,0.02016973919942189,0.4911537600549521,56.77975779589326,spark,800
10,10,2,48,4.4187,182.5429,119.3357,448.1855,60.84763333333333,59.66785,74.69758333333333,3,1730035025.3671515,1730035551.751394,750.0641,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,263.8192030360531,29.49176470588236,36003.0768,1500.1282,3.237,1.8189199116353798e-05,1.2463145624577203e-05,43.97362513065655,4.915714211450981,48.88933934210753,0.6548671327165779,0.018696316212134877,0.6735634489287128,49.562902791036244,spark,800
11,11,2,64,4.7101,180.5094,119.0697,444.8257,60.1698,59.53485,74.13761666666666,3,1730023108.1182818,1730023630.327042,744.4048,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,262.5741570881226,29.97678160919541,47641.9072,1488.8096,3.668,1.8189199116353798e-05,1.2463145624577203e-05,43.435880642745,4.958857804097064,48.39473844684206,0.8665681363436497,0.018555250852068536,0.8851233871957183,49.27986183403778,spark,800
12,12,2,80,4.6305,187.3297,122.5162,469.8853,62.44323333333333,61.2581,78.31421666666667,3,1730012394.012101,1730012937.324853,779.7312000000001,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,252.4272375690608,29.74429097605893,62378.49600000001,1559.4624,3.685,1.8189199116353798e-05,1.2463145624577203e-05,43.73897619164642,5.153900376869245,48.89287656851567,1.134614884322679,0.019435806987252665,1.1540506913099318,50.0469272598256,spark,800
