round,start_time,end_time,time
0,2025-02-17 06:12:45.100090,2025-02-17 06:13:51.903360,66.80327
1,2025-02-17 06:13:51.903407,2025-02-17 06:14:58.270022,66.366615
2,2025-02-17 06:14:58.270039,2025-02-17 06:16:05.228397,66.958358
3,2025-02-17 06:16:05.228416,2025-02-17 06:17:12.462330,67.233914
4,2025-02-17 06:17:12.462362,2025-02-17 06:18:18.855714,66.393352
5,2025-02-17 06:18:18.855731,2025-02-17 06:19:22.635711,63.77998
