,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied
0,2DonSphere_1000000000,3,64,32,232.864,2024-10-29 05:55:15.181100,2024-10-29 06:06:54.724500,26587.38598618845,3476.424681578166,34854.00753232178,4130.962693844833,32098.467016944007,3585.514350289277,1239.3879874033782,149.67537933008873,17.73980818780418,14903.296,7451.648,1.81891991163538e-05,1.2463145624577203e-05,35683.98136723328,0.0,0.0,0.0,0.2710790184339591,0.0928709741670894,0.3639499926010485,0.3639499926010485,convexHull,0,False,False,False,False
1,2DonSphere_1000000000,3,64,64,30.846,2024-10-28 02:22:42.578300,2024-10-28 02:24:15.121000,8580.969535737699,885.3308708768147,9675.9958524377,972.0333217768148,9310.987080204366,914.2316878434814,6407.113217768148,313.6872156013,31.5124593716143,1974.144,1974.144,1.81891991163538e-05,1.2463145624577203e-05,10225.218768047847,0.0,0.0,0.0,0.0359080983003551,0.0246040441558853,0.0605121424562404,0.0605121424562404,convexHull,0,False,False,False,False
2,2DonSphere_1000000000,3,32,24,360.714,2024-11-04 08:51:30.416700,2024-11-04 09:09:32.932500,36949.81507627262,5049.207562394911,49755.08392157262,6063.108485494911,41218.23802470596,5175.945177782412,700.3938862164663,137.9349953746531,16.808630897317297,11542.848,8657.136,1.81891991163538e-05,1.2463145624577203e-05,46394.18320248838,0.0,0.0,0.0,0.2099551606418062,0.1078951466597697,0.317850307301576,0.317850307301576,convexHull,0,False,False,False,False
3,2DonSphere_1000000000,3,96,16,1186.698,2024-10-29 09:13:49.512400,2024-10-29 10:13:10.045400,156989.35594060516,16747.37392939632,199116.8778227052,20082.96444609632,199116.8778227052,17025.339805787986,1377.9222747336164,167.79069133233995,16.923399589530206,113923.008,18987.168,1.81891991163538e-05,1.2463145624577203e-05,216142.2176284932,0.0,0.0,0.0,2.0721682764459666,0.2366398397823123,2.308808116228279,2.308808116228279,convexHull,0,False,False,False,False
4,2DonSphere_1000000000,3,80,48,38.053,2024-10-28 04:39:01.388300,2024-10-28 04:40:58.797800,8929.677177069225,966.9657851922072,10280.550432252558,1073.9257918088738,10055.404889722002,993.7057868463738,6109.764266211604,270.1639931740614,28.22184300341297,3044.24,1826.544,1.81891991163538e-05,1.2463145624577203e-05,11049.110676568376,0.0,0.0,0.0,0.0553722875179688,0.0227644838616977,0.0781367713796666,0.0781367713796666,convexHull,0,False,False,False,False
5,2DonSphere_1000000000,3,64,192,31.062,2024-10-27 22:12:13.748900,2024-10-27 22:13:46.935600,8731.304470099998,886.5074927,9833.99874,973.81708,9466.433983366664,973.81708,6405.381978494623,316.59258064516126,31.35075268817204,1987.968,5963.904,1.81891991163538e-05,1.2463145624577203e-05,10440.251063366664,0.0,0.0,0.0,0.0361595457889396,0.0743290040429984,0.1104885498319381,0.1104885498319381,convexHull,0,False,False,False,False
6,2DonSphere_1000000000,3,80,8,30788.563,2024-11-06 07:34:31.210900,2024-11-07 09:14:00.244800,3453615.381678125,417630.4289802554,4546602.697322808,504171.435003372,4364438.144715361,421236.3042312186,650.6567081143816,147.67180583656366,16.375283088183494,2463085.04,246308.504,1.81891991163538e-05,1.2463145624577203e-05,4785674.44894658,0.0,0.0,0.0,44.80154423307226,3.0697787539237567,47.87132298699602,47.87132298699602,convexHull,0,False,False,False,False
7,2DonSphere_1000000000,3,16,56,76.114,2024-11-04 01:55:07.928000,2024-11-04 01:58:56.275800,12059.089153323665,1533.1192753978792,14761.119661956998,1747.061775164546,12509.42757142922,1595.519171163157,1615.7610179903484,193.9343571741992,22.95322509872751,1217.824,4262.384,1.81891991163538e-05,1.2463145624577203e-05,14104.946742592376,0.0,0.0,0.0,0.0221512432246744,0.0531227124998678,0.0752739557245423,0.0752739557245423,convexHull,0,False,False,False,False
8,2DonSphere_1000000000,3,64,72,31.064,2024-11-04 00:31:47.686700,2024-11-04 00:33:20.883500,8662.256573974193,889.0430121419356,9765.02184344086,976.358221075269,9397.433420285304,921.7862154919356,6407.598516129033,314.3517204301075,31.430537634408605,1988.096,2236.608,1.81891991163538e-05,1.2463145624577203e-05,10319.21963577724,0.0,0.0,0.0,0.0361618740064265,0.0278751712090943,0.0640370452155209,0.0640370452155209,convexHull,0,False,False,False,False
9,2DonSphere_1000000000,3,48,96,32.536,2024-10-27 23:24:17.245800,2024-10-27 23:25:54.857400,8911.971537351677,905.6721149292268,10066.99248788501,997.1248459958932,9489.482012618344,951.39848046256,4811.199394250514,309.4108829568788,30.64681724845996,1561.728,3123.456,1.81891991163538e-05,1.2463145624577203e-05,10440.880493080904,0.0,0.0,0.0,0.0284065815575849,0.0389280869799594,0.0673346685375444,0.0673346685375444,convexHull,0,False,False,False,False
